Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID
GSBRNA2T00068595001,CDY39790,A0A078HMN2
GSBRNA2T00068630001,CDY39816,A0A078HQA1
GSBRNA2T00068590001,CDY39787,A0A078HPK6
GSBRNA2T00068609001,CDY39799,A0A078HR50
GSBRNA2T00068570001,CDY39772,A0A078HPI9
GSBRNA2T00068623001,CDY39811,A0A078HQ97
GSBRNA2T00068618001,CDY39806,A0A078HQ93
GSBRNA2T00068571001,CDY39773,A0A078HSP7
GSBRNA2T00068583001,CDY39780,A0A078HMM2
GSBRNA2T00068597001,CDY39792,A0A078HPL0
GSBRNA2T00068564001,CDY39767,A0A078HPI5
GSBRNA2T00068569001,CDY39771,A0A078HQ67
GSBRNA2T00068604001,CDY39795,A0A078HMN7
GSBRNA2T00068605001,CDY39796,A0A078HQ87
GSBRNA2T00068622001,CDY39810,A0A078HMQ0
GSBRNA2T00068582001,CDY39779,A0A078HR31
GSBRNA2T00068579001,CDY39777,A0A078HPJ5
GSBRNA2T00068589001,CDY39786,A0A078HQ78
GSBRNA2T00068606001,CDY39797,A0A078HPL4
GSBRNA2T00068587001,CDY39784,A0A078HR34
GSBRNA2T00068601001,CDY39794,A0A078HR45
GSBRNA2T00068629001,CDY39815,A0A078HMQ5
GSBRNA2T00068576001,CDY39775,A0A078HML7
GSBRNA2T00068620001,CDY39808,A0A078HST1
GSBRNA2T00068619001,CDY39807,A0A078HPM1
GSBRNA2T00068612001,CDY39802,A0A078HPL7
GSBRNA2T00068559001,CDY39763,A0A078HSP0
GSBRNA2T00068633001,CDY39819,A0A078HR74
GSBRNA2T00068561001,CDY39765,A0A078HLM2
GSBRNA2T00054584001,CDY66573,A0A078JG23
GSBRNA2T00054586001,CDY66574,A0A078JIM6
GSBRNA2T00019923001,CDY56687,A0A078IXL2
GSBRNA2T00019931001,CDY56697,A0A078J2Z4
GSBRNA2T00019924001,CDY56688,A0A078J0N7
GSBRNA2T00019926001,CDY56691,A0A078J2Z0
GSBRNA2T00019930001,CDY56696,A0A078J0X1
GSBRNA2T00019928001,CDY56693,A0A078IXL9
GSBRNA2T00019937001,CDY56699,A0A078IXM4
GSBRNA2T00019935001,CDY56698,A0A078FJC0
GSBRNA2T00019925001,CDY56690,A0A078J0W7
GSBRNA2T00019927001,CDY56692,A0A078J371
GSBRNA2T00019929001,CDY56695,A0A078J0P2
GSBRNA2T00019922001,CDY56686,A0A078J366
GSBRNA2T00069347001,CDY40203,A0A078HTX6
GSBRNA2T00069390001,CDY40239,A0A078HSG1
GSBRNA2T00069364001,CDY40214,A0A078HSE0
GSBRNA2T00069344001,CDY40201,A0A078HR79
GSBRNA2T00069384001,CDY40234,A0A078HSF7
GSBRNA2T00069396001,CDY40244,A0A078HSG6
GSBRNA2T00069383001,CDY40233,A0A078HU09
GSBRNA2T00069386001,CDY40235,A0A078HNV2
GSBRNA2T00069356001,CDY40209,A0A078HSD5
GSBRNA2T00069339001,CDY40197,A0A078HQS9
GSBRNA2T00069342001,CDY40200,A0A078HNS6
GSBRNA2T00069340001,CDY40198,A0A078HTX1
GSBRNA2T00069362001,CDY40212,A0A078HQU5
GSBRNA2T00069388001,CDY40237,A0A078HQW7
GSBRNA2T00069370001,CDY40220,A0A078HNT9
GSBRNA2T00069394001,CDY40242,A0A078HQX3
GSBRNA2T00069341001,CDY40199,A0A078HSC6
GSBRNA2T00069395001,CDY40243,A0A078HU15
GSBRNA2T00069380001,CDY40230,A0A078HNU8
GSBRNA2T00069368001,CDY40218,A0A078HTZ0
GSBRNA2T00069399001,CDY40246,A0A078HRB7
GSBRNA2T00069367001,CDY40217,A0A078HQU9
GSBRNA2T00069353001,CDY40206,A0A078HR83
GSBRNA2T00069379001,CDY40229,A0A078HSF2
GSBRNA2T00069346001,CDY40202,A0A078HQT5
GSBRNA2T00069346001,CDY40202,Q94KX0
GSBRNA2T00069355001,CDY40208,A0A078HTY2
GSBRNA2T00069369001,CDY40219,A0A078HSE4
GSBRNA2T00069363001,CDY40213,A0A078HTY7
GSBRNA2T00069361001,CDY40211,A0A078HR88
GSBRNA2T00069358001,CDY40210,A0A078HNT2
GSBRNA2T00069378001,CDY40228,A0A078HU03
GSBRNA2T00069375001,CDY40225,A0A078HNU3
GSBRNA2T00069365001,CDY40215,A0A078HNT6
GSBRNA2T00069348001,CDY40204,A0A078HSD1
GSBRNA2T00069372001,CDY40222,A0A078HQV3
GSBRNA2T00069392001,CDY40240,A0A078HNV5
GSBRNA2T00069351001,CDY40205,A0A078HNS9
GSBRNA2T00069389001,CDY40238,A0A078HU13
GSBRNA2T00069371001,CDY40221,A0A078HR96
GSBRNA2T00069382001,CDY40232,A0A078HQW2
GSBRNA2T00069381001,CDY40231,A0A078HRA4
GSBRNA2T00069374001,CDY40224,A0A078HSE8
GSBRNA2T00069377001,CDY40227,A0A078HQV6
GSBRNA2T00069366001,CDY40216,A0A078HR92
GSBRNA2T00069393001,CDY40241,Q9AXN3
GSBRNA2T00069354001,CDY40207,A0A078HQU0
GSBRNA2T00069373001,CDY40223,A0A078HTZ7
GSBRNA2T00069398001,CDY40245,A0A078HNW0
GSBRNA2T00069376001,CDY40226,A0A078HRA0
GSBRNA2T00069387001,CDY40236,A0A078HRA9
GSBRNA2T00134159001,CDX80785,
GSBRNA2T00134569001,CDX81120,
GSBRNA2T00134432001,CDX81001,
GSBRNA2T00134486001,CDX81049,
GSBRNA2T00134395001,CDX80971,
GSBRNA2T00134133001,CDX80760,
GSBRNA2T00134551001,CDX81105,
GSBRNA2T00134141001,CDX80768,
GSBRNA2T00134214001,CDX80820,A0A078IYQ5
GSBRNA2T00134586001,CDX81134,
GSBRNA2T00134475001,CDX81039,
GSBRNA2T00134345001,CDX80933,
GSBRNA2T00134407001,CDX80978,
GSBRNA2T00134547001,CDX81101,
GSBRNA2T00134482001,CDX81045,
GSBRNA2T00134144001,CDX80771,
GSBRNA2T00134297001,CDX80896,
GSBRNA2T00134453001,CDX81020,
GSBRNA2T00134209001,CDX80817,
GSBRNA2T00134415001,CDX80986,
GSBRNA2T00134587001,CDX81135,
GSBRNA2T00134265001,CDX80868,
GSBRNA2T00134224001,CDX80830,
GSBRNA2T00134161001,CDX80787,
GSBRNA2T00134492001,CDX81054,
GSBRNA2T00134269001,CDX80871,
GSBRNA2T00134640001,CDX81182,
GSBRNA2T00134349001,CDX80935,
GSBRNA2T00134476001,CDX81040,
GSBRNA2T00134279001,CDX80881,
GSBRNA2T00134496001,CDX81058,
GSBRNA2T00134637001,CDX81179,
GSBRNA2T00134545001,CDX81099,
GSBRNA2T00134580001,CDX81130,
GSBRNA2T00134222001,CDX80828,
GSBRNA2T00134518001,CDX81076,
GSBRNA2T00134130001,CDX80757,
GSBRNA2T00134567001,CDX81118,
GSBRNA2T00134317001,CDX80909,
GSBRNA2T00134419001,CDX80989,
GSBRNA2T00134351001,CDX80937,
GSBRNA2T00134629001,CDX81171,A0A078IFE3
GSBRNA2T00134295001,CDX80894,
GSBRNA2T00134577001,CDX81127,
GSBRNA2T00134274001,CDX80876,
GSBRNA2T00134541001,CDX81095,
GSBRNA2T00134442001,CDX81010,
GSBRNA2T00134445001,CDX81013,
GSBRNA2T00134431001,CDX81000,
GSBRNA2T00134241001,CDX80846,
GSBRNA2T00134219001,CDX80825,
GSBRNA2T00134165001,CDX80789,
GSBRNA2T00134409001,CDX80980,
GSBRNA2T00134327001,CDX80919,
GSBRNA2T00134448001,CDX81016,
GSBRNA2T00134470001,CDX81036,
GSBRNA2T00134216001,CDX80822,
GSBRNA2T00134372001,CDX80956,
GSBRNA2T00134322001,CDX80914,
GSBRNA2T00134191001,CDX80807,
GSBRNA2T00134278001,CDX80880,
GSBRNA2T00134441001,CDX81009,
GSBRNA2T00134143001,CDX80770,
GSBRNA2T00134465001,CDX81031,
GSBRNA2T00134320001,CDX80912,
GSBRNA2T00134151001,CDX80778,
GSBRNA2T00134456001,CDX81023,A9YBZ8
GSBRNA2T00134456001,CDX81023,Q8L4C1
GSBRNA2T00134542001,CDX81096,
GSBRNA2T00134410001,CDX80981,
GSBRNA2T00134627001,CDX81169,
GSBRNA2T00134600001,CDX81148,
GSBRNA2T00134155001,CDX80782,
GSBRNA2T00134134001,CDX80761,
GSBRNA2T00134399001,CDX80975,
GSBRNA2T00134397001,CDX80973,
GSBRNA2T00134447001,CDX81015,
GSBRNA2T00134162001,CDX80788,
GSBRNA2T00134532001,CDX81086,
GSBRNA2T00134263001,CDX80866,
GSBRNA2T00134438001,CDX81006,
GSBRNA2T00134495001,CDX81057,
GSBRNA2T00134321001,CDX80913,
GSBRNA2T00134298001,CDX80897,
GSBRNA2T00134452001,CDX81019,
GSBRNA2T00134120001,CDX80750,
GSBRNA2T00134451001,CDX81018,
GSBRNA2T00134436001,CDX81004,
GSBRNA2T00134549001,CDX81103,
GSBRNA2T00134136001,CDX80763,
GSBRNA2T00134266001,CDX80869,
GSBRNA2T00134175001,CDX80796,
GSBRNA2T00134324001,CDX80916,
GSBRNA2T00134584001,CDX81132,
GSBRNA2T00134227001,CDX80833,
GSBRNA2T00134606001,CDX81154,
GSBRNA2T00134484001,CDX81047,
GSBRNA2T00134490001,CDX81052,
GSBRNA2T00134622001,CDX81165,
GSBRNA2T00134288001,CDX80888,
GSBRNA2T00134533001,CDX81087,
GSBRNA2T00134310001,CDX80905,
GSBRNA2T00134403001,CDX80976,
GSBRNA2T00134229001,CDX80835,
GSBRNA2T00134257001,CDX80860,
GSBRNA2T00134413001,CDX80984,
GSBRNA2T00134188001,CDX80804,
GSBRNA2T00134454001,CDX81021,
GSBRNA2T00134223001,CDX80829,
GSBRNA2T00134153001,CDX80780,
GSBRNA2T00134466001,CDX81032,
GSBRNA2T00134592001,CDX81140,A0A078J2R9
GSBRNA2T00134331001,CDX80922,
GSBRNA2T00134129001,CDX80756,
GSBRNA2T00134380001,CDX80961,
GSBRNA2T00134528001,CDX81084,
GSBRNA2T00134597001,CDX81145,
GSBRNA2T00134250001,CDX80855,
GSBRNA2T00134289001,CDX80889,
GSBRNA2T00134290001,CDX80890,
GSBRNA2T00134459001,CDX81026,
GSBRNA2T00134626001,CDX81168,
GSBRNA2T00134579001,CDX81129,
GSBRNA2T00134218001,CDX80824,
GSBRNA2T00134554001,CDX81108,
GSBRNA2T00134376001,CDX80958,A0A078IQZ4
GSBRNA2T00134199001,CDX80811,
GSBRNA2T00134633001,CDX81175,
GSBRNA2T00134139001,CDX80766,
GSBRNA2T00134125001,CDX80753,
GSBRNA2T00134516001,CDX81074,
GSBRNA2T00134573001,CDX81124,
GSBRNA2T00134575001,CDX81126,
GSBRNA2T00134578001,CDX81128,
GSBRNA2T00134283001,CDX80883,
GSBRNA2T00134368001,CDX80953,
GSBRNA2T00134444001,CDX81012,
GSBRNA2T00134477001,CDX81041,
GSBRNA2T00134285001,CDX80885,
GSBRNA2T00134132001,CDX80759,
GSBRNA2T00134360001,CDX80946,
GSBRNA2T00134127001,CDX80754,
GSBRNA2T00134433001,CDX81002,
GSBRNA2T00134515001,CDX81073,
GSBRNA2T00134363001,CDX80948,
GSBRNA2T00134556001,CDX81110,
GSBRNA2T00134539001,CDX81093,
GSBRNA2T00134548001,CDX81102,
GSBRNA2T00134429001,CDX80998,
GSBRNA2T00134412001,CDX80983,
GSBRNA2T00134286001,CDX80886,
GSBRNA2T00134437001,CDX81005,
GSBRNA2T00134602001,CDX81150,
GSBRNA2T00134221001,CDX80827,
GSBRNA2T00134615001,CDX81160,
GSBRNA2T00134604001,CDX81152,
GSBRNA2T00134581001,CDX81131,
GSBRNA2T00134255001,CDX80858,
GSBRNA2T00134225001,CDX80831,
GSBRNA2T00134359001,CDX80945,
GSBRNA2T00134358001,CDX80944,
GSBRNA2T00134624001,CDX81167,
GSBRNA2T00134421001,CDX80991,
GSBRNA2T00134256001,CDX80859,
GSBRNA2T00134187001,CDX80803,
GSBRNA2T00134557001,CDX81111,
GSBRNA2T00134307001,CDX80902,
GSBRNA2T00134236001,CDX80841,
GSBRNA2T00134311001,CDX80906,
GSBRNA2T00134119001,CDX80749,
GSBRNA2T00134316001,CDX80908,
GSBRNA2T00134150001,CDX80777,
GSBRNA2T00134211001,CDX80818,A0A078JWF4
GSBRNA2T00134464001,CDX81030,
GSBRNA2T00134142001,CDX80769,
GSBRNA2T00134509001,CDX81068,
GSBRNA2T00134333001,CDX80924,
GSBRNA2T00134480001,CDX81044,
GSBRNA2T00134338001,CDX80928,
GSBRNA2T00134544001,CDX81098,
GSBRNA2T00134408001,CDX80979,
GSBRNA2T00134572001,CDX81123,
GSBRNA2T00134189001,CDX80805,
GSBRNA2T00134356001,CDX80942,
GSBRNA2T00134498001,CDX81059,
GSBRNA2T00134275001,CDX80877,
GSBRNA2T00134411001,CDX80982,
GSBRNA2T00134507001,CDX81066,
GSBRNA2T00134154001,CDX80781,
GSBRNA2T00134555001,CDX81109,
GSBRNA2T00134630001,CDX81172,
GSBRNA2T00134117001,CDX80747,
GSBRNA2T00134558001,CDX81112,
GSBRNA2T00134176001,CDX80797,
GSBRNA2T00134608001,CDX81156,
GSBRNA2T00134446001,CDX81014,
GSBRNA2T00134588001,CDX81136,
GSBRNA2T00134200001,CDX80812,
GSBRNA2T00134424001,CDX80994,
GSBRNA2T00134135001,CDX80762,
GSBRNA2T00134243001,CDX80848,
GSBRNA2T00134201001,CDX80813,A0A078D0C3
GSBRNA2T00134233001,CDX80838,
GSBRNA2T00134574001,CDX81125,
GSBRNA2T00134309001,CDX80904,
GSBRNA2T00134472001,CDX81038,
GSBRNA2T00134478001,CDX81042,
GSBRNA2T00134493001,CDX81055,
GSBRNA2T00134611001,CDX81158,
GSBRNA2T00134384001,CDX80962,
GSBRNA2T00134353001,CDX80939,
GSBRNA2T00134247001,CDX80852,
GSBRNA2T00134537001,CDX81091,
GSBRNA2T00134535001,CDX81089,
GSBRNA2T00134623001,CDX81166,
GSBRNA2T00134443001,CDX81011,
GSBRNA2T00134503001,CDX81063,
GSBRNA2T00134217001,CDX80823,
GSBRNA2T00134355001,CDX80941,
GSBRNA2T00134521001,CDX81079,A0A059UHC3
GSBRNA2T00134204001,CDX80815,
GSBRNA2T00134636001,CDX81178,
GSBRNA2T00134511001,CDX81070,
GSBRNA2T00134463001,CDX81029,
GSBRNA2T00134342001,CDX80930,
GSBRNA2T00134312001,CDX80907,
GSBRNA2T00134137001,CDX80764,
GSBRNA2T00134308001,CDX80903,
GSBRNA2T00134190001,CDX80806,
GSBRNA2T00134370001,CDX80954,
GSBRNA2T00134186001,CDX80802,
GSBRNA2T00134590001,CDX81138,
GSBRNA2T00134469001,CDX81035,
GSBRNA2T00134350001,CDX80936,
GSBRNA2T00134634001,CDX81176,
GSBRNA2T00134319001,CDX80911,
GSBRNA2T00134198001,CDX80810,
GSBRNA2T00134553001,CDX81107,
GSBRNA2T00134607001,CDX81155,
GSBRNA2T00134418001,CDX80988,
GSBRNA2T00134138001,CDX80765,
GSBRNA2T00134232001,CDX80837,
GSBRNA2T00134300001,CDX80898,
GSBRNA2T00134423001,CDX80993,
GSBRNA2T00134228001,CDX80834,
GSBRNA2T00134628001,CDX81170,
GSBRNA2T00134609001,CDX81157,
GSBRNA2T00134152001,CDX80779,
GSBRNA2T00134258001,CDX80861,
GSBRNA2T00134632001,CDX81174,
GSBRNA2T00134513001,CDX81071,
GSBRNA2T00134598001,CDX81146,
GSBRNA2T00134483001,CDX81046,
GSBRNA2T00134364001,CDX80949,
GSBRNA2T00134621001,CDX81164,
GSBRNA2T00134377001,CDX80959,
GSBRNA2T00134467001,CDX81033,
GSBRNA2T00134267001,CDX80870,
GSBRNA2T00134500001,CDX81061,Q43398
GSBRNA2T00134246001,CDX80851,
GSBRNA2T00134173001,CDX80794,
GSBRNA2T00134354001,CDX80940,
GSBRNA2T00134641001,CDX81183,
GSBRNA2T00134385001,CDX80963,
GSBRNA2T00134563001,CDX81114,
GSBRNA2T00134118001,CDX80748,
GSBRNA2T00134614001,CDX81159,
GSBRNA2T00134334001,CDX80925,X2C3K6
GSBRNA2T00134292001,CDX80892,
GSBRNA2T00134519001,CDX81077,
GSBRNA2T00134318001,CDX80910,
GSBRNA2T00134365001,CDX80950,
GSBRNA2T00134287001,CDX80887,
GSBRNA2T00134529001,CDX81085,
GSBRNA2T00134276001,CDX80878,
GSBRNA2T00134304001,CDX80899,
GSBRNA2T00134242001,CDX80847,A0A078CVS8
GSBRNA2T00134182001,CDX80799,
GSBRNA2T00134273001,CDX80875,
GSBRNA2T00134591001,CDX81139,
GSBRNA2T00134420001,CDX80990,
GSBRNA2T00134361001,CDX80947,
GSBRNA2T00134244001,CDX80849,
GSBRNA2T00134330001,CDX80921,
GSBRNA2T00134184001,CDX80801,
GSBRNA2T00134254001,CDX80857,
GSBRNA2T00134391001,CDX80967,
GSBRNA2T00134425001,CDX80995,
GSBRNA2T00134502001,CDX81062,
GSBRNA2T00134226001,CDX80832,
GSBRNA2T00134305001,CDX80900,
GSBRNA2T00134196001,CDX80808,
GSBRNA2T00134619001,CDX81162,
GSBRNA2T00134306001,CDX80901,
GSBRNA2T00134468001,CDX81034,
GSBRNA2T00134594001,CDX81142,
GSBRNA2T00134517001,CDX81075,
GSBRNA2T00134595001,CDX81143,
GSBRNA2T00134160001,CDX80786,
GSBRNA2T00134323001,CDX80915,
GSBRNA2T00134458001,CDX81025,
GSBRNA2T00134248001,CDX80853,
GSBRNA2T00134147001,CDX80774,
GSBRNA2T00134524001,CDX81081,
GSBRNA2T00134357001,CDX80943,
GSBRNA2T00134543001,CDX81097,
GSBRNA2T00134639001,CDX81181,
GSBRNA2T00134559001,CDX81113,
GSBRNA2T00134488001,CDX81051,
GSBRNA2T00134167001,CDX80791,
GSBRNA2T00134215001,CDX80821,
GSBRNA2T00134499001,CDX81060,
GSBRNA2T00134635001,CDX81177,
GSBRNA2T00134156001,CDX80783,
GSBRNA2T00134439001,CDX81007,
GSBRNA2T00134281001,CDX80882,
GSBRNA2T00134550001,CDX81104,
GSBRNA2T00134220001,CDX80826,
GSBRNA2T00134296001,CDX80895,
GSBRNA2T00134251001,CDX80856,
GSBRNA2T00134514001,CDX81072,
GSBRNA2T00134207001,CDX80816,
GSBRNA2T00134457001,CDX81024,
GSBRNA2T00134618001,CDX81161,
GSBRNA2T00134329001,CDX80920,
GSBRNA2T00134596001,CDX81144,
GSBRNA2T00134272001,CDX80874,
GSBRNA2T00134455001,CDX81022,
GSBRNA2T00134506001,CDX81065,
GSBRNA2T00134240001,CDX80845,
GSBRNA2T00134343001,CDX80931,
GSBRNA2T00134341001,CDX80929,
GSBRNA2T00134367001,CDX80952,
GSBRNA2T00134168001,CDX80792,
GSBRNA2T00134336001,CDX80926,
GSBRNA2T00134406001,CDX80977,
GSBRNA2T00134538001,CDX81092,
GSBRNA2T00134536001,CDX81090,
GSBRNA2T00134540001,CDX81094,
GSBRNA2T00134398001,CDX80974,
GSBRNA2T00134585001,CDX81133,
GSBRNA2T00134239001,CDX80844,
GSBRNA2T00134140001,CDX80767,
GSBRNA2T00134571001,CDX81122,
GSBRNA2T00134325001,CDX80917,
GSBRNA2T00134146001,CDX80773,
GSBRNA2T00134260001,CDX80863,
GSBRNA2T00134202001,CDX80814,
GSBRNA2T00134570001,CDX81121,Q703G1
GSBRNA2T00134570001,CDX81121,A0A0F6QUB9
GSBRNA2T00134570001,CDX81121,A0A0F6QSZ7
GSBRNA2T00134570001,CDX81121,A0A0F6T810
GSBRNA2T00134379001,CDX80960,
GSBRNA2T00134396001,CDX80972,
GSBRNA2T00134180001,CDX80798,
GSBRNA2T00134393001,CDX80969,
GSBRNA2T00134148001,CDX80775,
GSBRNA2T00134389001,CDX80966,
GSBRNA2T00134487001,CDX81050,
GSBRNA2T00134599001,CDX81147,
GSBRNA2T00134485001,CDX81048,
GSBRNA2T00134520001,CDX81078,
GSBRNA2T00134149001,CDX80776,
GSBRNA2T00134388001,CDX80965,
GSBRNA2T00134366001,CDX80951,
GSBRNA2T00134638001,CDX81180,
GSBRNA2T00134172001,CDX80793,
GSBRNA2T00134128001,CDX80755,
GSBRNA2T00134234001,CDX80839,
GSBRNA2T00134337001,CDX80927,
GSBRNA2T00134546001,CDX81100,
GSBRNA2T00134471001,CDX81037,
GSBRNA2T00134565001,CDX81116,
GSBRNA2T00134352001,CDX80938,
GSBRNA2T00134566001,CDX81117,
GSBRNA2T00134526001,CDX81083,
GSBRNA2T00134145001,CDX80772,
GSBRNA2T00134373001,CDX80957,
GSBRNA2T00134414001,CDX80985,
GSBRNA2T00134284001,CDX80884,
GSBRNA2T00134417001,CDX80987,
GSBRNA2T00134245001,CDX80850,
GSBRNA2T00134552001,CDX81106,
GSBRNA2T00134430001,CDX80999,
GSBRNA2T00134508001,CDX81067,
GSBRNA2T00134589001,CDX81137,
GSBRNA2T00134332001,CDX80923,
GSBRNA2T00134294001,CDX80893,
GSBRNA2T00134174001,CDX80795,
GSBRNA2T00134262001,CDX80865,
GSBRNA2T00134387001,CDX80964,
GSBRNA2T00134238001,CDX80843,
GSBRNA2T00134479001,CDX81043,
GSBRNA2T00134371001,CDX80955,
GSBRNA2T00134392001,CDX80968,
GSBRNA2T00134428001,CDX80997,
GSBRNA2T00134237001,CDX80842,
GSBRNA2T00134450001,CDX81017,
GSBRNA2T00134568001,CDX81119,
GSBRNA2T00134344001,CDX80932,
GSBRNA2T00134460001,CDX81027,
GSBRNA2T00134605001,CDX81153,
GSBRNA2T00134212001,CDX80819,
GSBRNA2T00134197001,CDX80809,
GSBRNA2T00134271001,CDX80873,
GSBRNA2T00134131001,CDX80758,
GSBRNA2T00134631001,CDX81173,
GSBRNA2T00134620001,CDX81163,K4HX59
GSBRNA2T00134620001,CDX81163,Q8W003
GSBRNA2T00134259001,CDX80862,
GSBRNA2T00134277001,CDX80879,
GSBRNA2T00134123001,CDX80751,
GSBRNA2T00134422001,CDX80992,
GSBRNA2T00134394001,CDX80970,
GSBRNA2T00134124001,CDX80752,
GSBRNA2T00134270001,CDX80872,
GSBRNA2T00134435001,CDX81003,
GSBRNA2T00134593001,CDX81141,
GSBRNA2T00134564001,CDX81115,
GSBRNA2T00134427001,CDX80996,
GSBRNA2T00134534001,CDX81088,
GSBRNA2T00134440001,CDX81008,
GSBRNA2T00134603001,CDX81151,
GSBRNA2T00134348001,CDX80934,
GSBRNA2T00134235001,CDX80840,
GSBRNA2T00134291001,CDX80891,A0A078CUQ3
GSBRNA2T00134249001,CDX80854,
GSBRNA2T00134494001,CDX81056,
GSBRNA2T00134510001,CDX81069,
GSBRNA2T00134326001,CDX80918,
GSBRNA2T00134525001,CDX81082,
GSBRNA2T00134601001,CDX81149,
GSBRNA2T00134157001,CDX80784,
GSBRNA2T00134264001,CDX80867,
GSBRNA2T00134522001,CDX81080,
