Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1798071,2015-02-20 20:26:18,2015-02-20 20:21:26,12641470,3792441000,12641470,300,2263,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798071/SRR1798071.sralite.1,SRX872607,NYAW,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,541000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,9CFCF9C4C51BFD580A6BD04AC66CDC9C,FC60B981A6977FA9C1380AF106423AA9
SRR1798072,2015-02-20 20:26:18,2015-02-20 20:19:53,10817705,3245311500,10817705,300,1865,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798072/SRR1798072.sralite.1,SRX872608,NYBO,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,560000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,8D6235B318839EAB208BE04F1CAE9B02,EC84C345B641F99FC3560649C182008F
SRR1798073,2015-02-20 20:21:13,2015-02-20 20:18:17,8112150,2433645000,8112150,300,1428,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798073/SRR1798073.sralite.1,SRX872609,NYCC,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,500000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,2DED2F59E1313E8D2ED1B8CBCC14CCD5,EB174B5A0F641DA05F15F57AFB555215
SRR1798074,2015-02-20 20:22:12,2015-02-20 20:19:40,10875347,3262604100,10875347,300,1971,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798074/SRR1798074.sralite.1,SRX872610,NYBZ,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,495000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,0552DE6E1030934074FCEE16E6A212F0,00EC7E016AEFEEBF7FADC5C24034C1A2
SRR1798075,2015-02-20 20:26:18,2015-02-20 20:20:34,10216862,3065058600,10216862,300,1903,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798075/SRR1798075.sralite.1,SRX872611,NYBC,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,442000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,9B6DDAA8493581D1E6683D959BABC0DB,DF0B598EE3A35138EFBD4E2AE078098D
SRR1798076,2015-02-20 20:23:15,2015-02-20 20:20:39,10206597,3061979100,10206597,300,1787,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798076/SRR1798076.sralite.1,SRX872612,NYBB,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,452000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,859A201DCB7D257A0CE2FC18BEA80225,08A747C466AC419CB532FF502DEEC29B
SRR1798077,2015-02-20 20:22:12,2015-02-20 20:17:53,10674839,3202451700,10674839,300,1837,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798077/SRR1798077.sralite.1,SRX872613,NYBH,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,532000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,D243A69F92C8B36CD57A5DE8668B7088,4E0EED51964DA5BEF28A3FF765E969C5
SRR1798078,2015-02-20 20:23:15,2015-02-20 20:19:54,7656504,2296951200,7656504,300,1415,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798078/SRR1798078.sralite.1,SRX872614,NYBG,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,431000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,1C316D6EBE92403844C703FC25E4B53D,9772F7D002DBEB34B1F9339777A85C97
SRR1798079,2015-02-20 20:21:13,2015-02-20 20:17:39,11555443,3466632900,11555443,300,1990,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798079/SRR1798079.sralite.1,SRX872615,NYAY,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,462000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,6F04F9FEDEFD03A15ACC644FEE5EF58A,BEE42CA7EA2C208959CB713AC78CEC2E
SRR1798080,2015-02-20 20:21:13,2015-02-20 20:17:15,11397147,3419144100,11397147,300,2071,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798080/SRR1798080.sralite.1,SRX872616,NYAT,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,493000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,0413CEF5182B79CC6AF4E172381B3B64,346462785E803D25E55E3B3A3A7263BD
SRR1798081,2015-02-20 20:21:13,2015-02-20 20:17:00,10980502,3294150600,10980502,300,1918,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798081/SRR1798081.sralite.1,SRX872617,NYCG,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,473000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,66C85101CB3BC80B923EE26AF99B2585,4F2241E41D6CE31CAE0517EACCE2BB84
SRR1798082,2015-02-20 20:21:13,2015-02-20 20:16:16,10304326,3091297800,10304326,300,1785,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798082/SRR1798082.sralite.1,SRX872618,NYAX,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,549000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,E1C06BB1A15D5FF9533094B976990916,08E052F2FCDD5005848ACEB7432B4A4C
SRR1798083,2015-02-20 20:20:13,2015-02-20 20:15:42,8925971,2677791300,8925971,300,1573,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798083/SRR1798083.sralite.1,SRX872619,NYBW,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,492000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,CC24DBD50716011A240F460C6A769202,E4657AA2C5D2843576CA8A4C83399156
SRR1798084,2015-02-20 20:21:13,2015-02-20 20:17:51,12429792,3728937600,12429792,300,2261,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798084/SRR1798084.sralite.1,SRX872620,NYAU,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,520000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,86F68173750FA50882C32332602E4BFF,23DE6B9D723253455757B214A27F9AA4
SRR1798085,2015-02-20 20:20:13,2015-02-20 20:15:48,9162441,2748732300,9162441,300,1615,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798085/SRR1798085.sralite.1,SRX872621,NYBP,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,481000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,9345438C23EE139AD3A18E9511989808,5C50300809981CB2833A1A93713B75DA
SRR1798086,2015-02-20 20:20:13,2015-02-20 20:16:33,10226804,3068041200,10226804,300,1759,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798086/SRR1798086.sralite.1,SRX872622,NYBN,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,480000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,B004B4D0101B78CEB19672AE91AC5F76,B2F474BACD1A5057F26A7BA66F2689AC
SRR1798087,2015-02-20 20:20:13,2015-02-20 20:17:05,10705067,3211520100,10705067,300,1960,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798087/SRR1798087.sralite.1,SRX872623,NYCB,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,539000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,262096E897078B95E20B8369A1E9D144,6088599AE4EBFD2BCFBC38E7CDA3736A
SRR1798088,2015-02-20 20:21:13,2015-02-20 20:16:03,9709872,2912961600,9709872,300,1669,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798088/SRR1798088.sralite.1,SRX872624,NYCA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,466000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,FFB99A51D3779AD280B33F18909A7C70,A8B234BADDE3423A1FCCDCE5622EFC90
SRR1798089,2015-02-20 20:21:13,2015-02-20 20:15:57,9104185,2731255500,9104185,300,1685,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798089/SRR1798089.sralite.1,SRX872625,NYAZ,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,442000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,922C21DF44A07E7A7ABDCA0DC89CEC78,805AE711EA415A11BBA5FE3B818CE65F
SRR1588449,2014-09-29 06:57:08,2014-09-29 05:47:51,26620514,7986154200,26620514,300,5038,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588449/SRR1588449.sralite.1,SRX712736,SYYU,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,474000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,6815E0AD1059D8FA3B4A064576A510A8,387B83DB146460A0E51BCFA357380769
SRR1588450,2014-09-29 06:56:09,2014-09-29 05:47:47,21832510,6549753000,21832510,300,4189,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588450/SRR1588450.sralite.1,SRX712737,SYYG,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,460000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,585459B9D09CC22CF39203C8D58CF4F8,8EE8EF850F9567EEEBFAA392AEA8737A
SRR1588451,2014-09-29 06:58:08,2014-09-29 06:06:19,33194623,9958386900,33194623,300,6253,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588451/SRR1588451.sralite.1,SRX712738,SYZN,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,460000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,5225B555D8F461F6E8F6B25087AE879A,764542CB8215EEF8F0E3CEDA7B7AA3C6
SRR1588452,2014-09-29 06:57:08,2014-09-29 05:46:10,21772910,6531873000,21772910,300,3944,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588452/SRR1588452.sralite.1,SRX712739,SYZC,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,440000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,F521B950436FAE370D06BD3EC398AFE8,D6A061890450C641AD061D71297BB7A9
SRR1588453,2014-09-29 06:57:08,2014-09-29 05:47:34,27989073,8396721900,27989073,300,5288,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588453/SRR1588453.sralite.1,SRX712740,SYZT,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,432000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,C34F6AF9772F608C5231E47EB43B53CD,86DBB34CB95A9404AB068D654F401503
SRR1588454,2014-09-29 06:56:09,2014-09-29 05:59:33,22535534,6760660200,22535534,300,4233,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588454/SRR1588454.sralite.1,SRX712741,SYYY,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,459000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,7CA10EF3D2CEB769A75D0346C9F566BA,56CF7502C8521CD3D312B0138865BB1B
SRR1588455,2014-09-29 06:57:08,2014-09-29 05:49:12,24078366,7223509800,24078366,300,4457,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588455/SRR1588455.sralite.1,SRX712742,SYYA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,472000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,45A31EF1BC529C55FDF38892A4B2E133,C9E0FEB37D70CBB06883EE2704A508FF
SRR1588456,2014-09-29 06:57:08,2014-09-29 05:41:40,18319495,5495848500,18319495,300,3415,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588456/SRR1588456.sralite.1,SRX712743,SYYX,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,465000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,7AAC78500514DF89D3FA45D8F6BD1977,42787C8F9E59E0CDA9DB702AD3A30812
SRR1588457,2014-09-29 06:58:08,2014-09-29 06:06:24,28814576,8644372800,28814576,300,5372,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588457/SRR1588457.sralite.1,SRX712744,SYYS,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,478000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,109B81B0F2139E10A3A031F6D5E5E15D,3ABE4BE10AFEA05C9E9D1183AF6E3AB5
SRR1588458,2014-09-29 07:01:09,2014-09-29 06:26:48,48854337,14656301100,48854337,300,9361,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588458/SRR1588458.sralite.1,SRX712745,SYYH,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,465000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,EFC47CE5EA58D28918ECEC24CE7D5BD2,AFA8B6DD9C81013BF493B33893A60E23
SRR1588459,2014-09-29 07:00:08,2014-09-29 05:40:27,7163871,2149161300,7163871,300,1272,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588459/SRR1588459.sralite.1,SRX712746,SYZG,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,477000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,E02FF2C02CA4B65A05E3017B8FDDCBE9,161C80787F2142C004E6FB059E83B433
SRR1588460,2014-09-29 06:57:08,2014-09-29 05:48:48,25118926,7535677800,25118926,300,4765,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/588/SRR1588460/SRR1588460.sralite.1,SRX712747,SYZS,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,461000,0,ILLUMINA,Illumina HiSeq 2000,SRP048197,PRJNA259146,,259146,SRS710986,SAMN03003002,simple,3218,Physcomitrella patens,1031100,,,,,,,no,,,,,JGI,SRA187509,,public,BA80630AEFA87F2585859C33F128B752,7825F1BEFAA90EBCA4A849CF7A8450FB
