arabidopsis,tomato,Group Number
AT4G16930,Solyc06g065150.1,OG0000008
AT5G48770,Solyc06g065150.1,OG0000008
AT1G56510,Solyc06g065150.1,OG0000008
AT5G45210,Solyc06g065150.1,OG0000008
AT4G16860,Solyc06g065150.1,OG0000008
AT4G09435,Solyc06g065150.1,OG0000008
AT5G45240,Solyc06g065150.1,OG0000008
AT4G19500,Solyc06g065150.1,OG0000008
AT5G18350,Solyc06g065150.1,OG0000008
AT5G44870,Solyc06g065150.1,OG0000008
AT2G17050,Solyc06g065150.1,OG0000008
AT2G17060,Solyc06g065150.1,OG0000008
AT3G44400,Solyc06g065150.1,OG0000008
AT4G11170,Solyc06g065150.1,OG0000008
AT4G36140,Solyc06g065150.1,OG0000008
AT4G16990,Solyc06g065150.1,OG0000008
AT5G45250,Solyc06g065150.1,OG0000008
AT3G04220,Solyc06g065150.1,OG0000008
AT5G38344,Solyc06g065150.1,OG0000008
AT3G25510,Solyc06g065150.1,OG0000008
AT3G51560,Solyc06g065150.1,OG0000008
AT4G16957,Solyc06g065150.1,OG0000008
AT1G57630,Solyc06g065150.1,OG0000008
AT5G22690,Solyc06g065150.1,OG0000008
AT2G16870,Solyc06g065150.1,OG0000008
AT5G01620,Solyc10g085320.2,OG0012894
AT1G68760,Solyc05g010015.1,OG0009735
AT5G59850,Solyc04g150159.1,OG0002785
AT5G59850,Solyc04g150158.1,OG0002785
AT1G07770,Solyc04g150159.1,OG0002785
AT1G07770,Solyc04g150158.1,OG0002785
AT2G17390,Solyc10g024330.3,OG0001318
AT2G17390,Solyc10g024340.2,OG0001318
AT2G17390,Solyc01g104170.3,OG0001318
AT4G35450,Solyc10g024330.3,OG0001318
AT4G35450,Solyc10g024340.2,OG0001318
AT4G35450,Solyc01g104170.3,OG0001318
AT1G63100,Solyc08g080400.2,OG0004885
AT1G63100,Solyc01g009840.3,OG0004885
AT4G31250,Solyc08g069170.3,OG0007587
AT1G49310,Solyc07g016215.1,OG0002602
AT1G49310,Solyc07g016210.1,OG0002602
AT1G49310,Solyc10g009150.3,OG0002602
AT5G17690,Solyc10g024470.3,OG0005916
AT5G17690,Solyc01g081500.4,OG0005916
AT1G19020,Solyc05g006390.1,OG0005076
AT3G48180,Solyc05g006390.1,OG0005076
AT4G17170,Solyc10g007700.3,OG0007600
AT1G09530,Solyc01g102300.3,OG0009715
AT5G62580,Solyc03g113680.4,OG0012268
AT3G47470,Solyc06g069730.3,OG0011319
AT2G27860,Solyc11g066720.3,OG0003581
AT1G08200,Solyc11g066720.3,OG0003581
AT1G50030,Solyc01g106770.4,OG0010165
AT1G03100,Solyc04g008410.3,OG0010339
AT3G05320,Solyc02g069240.1,OG0010828
AT5G06740,Solyc10g080510.1,OG0012124
AT1G19100,Solyc01g099300.3,OG0005101
AT1G19100,Solyc06g071580.3,OG0005101
AT5G25610,Solyc02g062310.1,OG0000456
AT5G25610,Solyc02g062320.3,OG0000456
AT5G25610,Solyc05g015300.4,OG0000456
AT5G25610,Solyc08g068140.4,OG0000456
AT5G25610,Solyc02g062313.1,OG0000456
AT5G25610,Solyc08g068150.4,OG0000456
AT5G25610,Solyc02g062300.3,OG0000456
AT5G25610,Solyc08g068130.1,OG0000456
AT5G25610,Solyc02g062317.1,OG0000456
AT2G42370,Solyc07g053440.4,OG0003843
AT3G58110,Solyc07g053440.4,OG0003843
AT1G62820,Solyc03g083520.4,OG0004987
AT1G12310,Solyc03g083520.4,OG0004987
AT1G45191,Solyc01g081180.2,OG0000207
AT1G45191,Solyc09g075060.3,OG0000207
AT1G45191,Solyc09g075070.3,OG0000207
AT1G45191,Solyc01g081170.3,OG0000207
AT1G45191,Solyc08g042020.1,OG0000207
AT1G60270,Solyc01g081180.2,OG0000207
AT1G60270,Solyc09g075060.3,OG0000207
AT1G60270,Solyc09g075070.3,OG0000207
AT1G60270,Solyc01g081170.3,OG0000207
AT1G60270,Solyc08g042020.1,OG0000207
AT4G27830,Solyc01g081180.2,OG0000207
AT4G27830,Solyc09g075060.3,OG0000207
AT4G27830,Solyc09g075070.3,OG0000207
AT4G27830,Solyc01g081170.3,OG0000207
AT4G27830,Solyc08g042020.1,OG0000207
AT4G27820,Solyc01g081180.2,OG0000207
AT4G27820,Solyc09g075060.3,OG0000207
AT4G27820,Solyc09g075070.3,OG0000207
AT4G27820,Solyc01g081170.3,OG0000207
AT4G27820,Solyc08g042020.1,OG0000207
AT1G02850,Solyc01g081180.2,OG0000207
AT1G02850,Solyc09g075060.3,OG0000207
AT1G02850,Solyc09g075070.3,OG0000207
AT1G02850,Solyc01g081170.3,OG0000207
AT1G02850,Solyc08g042020.1,OG0000207
AT3G62750,Solyc01g081180.2,OG0000207
AT3G62750,Solyc09g075060.3,OG0000207
AT3G62750,Solyc09g075070.3,OG0000207
AT3G62750,Solyc01g081170.3,OG0000207
AT3G62750,Solyc08g042020.1,OG0000207
AT5G16580,Solyc01g081180.2,OG0000207
AT5G16580,Solyc09g075060.3,OG0000207
AT5G16580,Solyc09g075070.3,OG0000207
AT5G16580,Solyc01g081170.3,OG0000207
AT5G16580,Solyc08g042020.1,OG0000207
AT3G62740,Solyc01g081180.2,OG0000207
AT3G62740,Solyc09g075060.3,OG0000207
AT3G62740,Solyc09g075070.3,OG0000207
AT3G62740,Solyc01g081170.3,OG0000207
AT3G62740,Solyc08g042020.1,OG0000207
AT4G22100,Solyc01g081180.2,OG0000207
AT4G22100,Solyc09g075060.3,OG0000207
AT4G22100,Solyc09g075070.3,OG0000207
AT4G22100,Solyc01g081170.3,OG0000207
AT4G22100,Solyc08g042020.1,OG0000207
AT1G60090,Solyc01g081180.2,OG0000207
AT1G60090,Solyc09g075060.3,OG0000207
AT1G60090,Solyc09g075070.3,OG0000207
AT1G60090,Solyc01g081170.3,OG0000207
AT1G60090,Solyc08g042020.1,OG0000207
AT1G60260,Solyc01g081180.2,OG0000207
AT1G60260,Solyc09g075060.3,OG0000207
AT1G60260,Solyc09g075070.3,OG0000207
AT1G60260,Solyc01g081170.3,OG0000207
AT1G60260,Solyc08g042020.1,OG0000207
AT3G20260,Solyc06g063340.3,OG0011298
AT1G08320,Solyc06g074320.3,OG0009102
AT1G34350,Solyc08g067830.3,OG0009390
AT3G20970,Solyc11g007120.2,OG0004896
AT1G51390,Solyc11g007120.2,OG0004896
AT2G41810,Solyc04g015610.3,OG0001901
AT2G41810,Solyc04g015620.3,OG0001901
AT2G41800,Solyc04g015610.3,OG0001901
AT2G41800,Solyc04g015620.3,OG0001901
AT1G27520,Solyc03g113900.4,OG0009684
AT5G51150,Solyc03g093990.4,OG0012242
AT3G61120,Solyc01g093960.3,OG0003393
AT2G45650,Solyc01g093960.3,OG0003393
AT1G23820,Solyc04g026030.3,OG0009440
AT5G63830,Solyc08g082960.3,OG0012984
AT1G14820,Solyc01g005253.1,OG0001589
AT1G14820,Solyc01g005257.1,OG0001589
AT1G14820,Solyc01g005290.4,OG0001589
AT1G14820,Solyc01g005280.3,OG0001589
AT1G15760,Solyc03g117340.1,OG0001628
AT1G15760,Solyc03g117310.1,OG0001628
AT1G15760,Solyc06g068310.1,OG0001628
AT1G80520,Solyc03g117340.1,OG0001628
AT1G80520,Solyc03g117310.1,OG0001628
AT1G80520,Solyc06g068310.1,OG0001628
AT5G01075,Solyc04g078010.4,OG0012631
AT1G76480,Solyc08g066030.3,OG0004851
AT1G20890,Solyc08g066030.3,OG0004851
AT5G16560,Solyc05g051060.3,OG0006114
AT5G16560,Solyc11g011770.3,OG0006114
AT2G41190,Solyc03g078150.3,OG0007367
AT1G67930,Solyc10g007720.4,OG0009622
AT5G66540,Solyc03g112820.4,OG0012414
AT5G53060,Solyc03g082980.3,OG0012675
AT5G53486,Solyc03g082945.1,OG0001798
AT5G53486,Solyc06g052020.2,OG0001798
AT5G53486,Solyc08g082780.2,OG0001798
AT5G53486,Solyc08g082790.3,OG0001798
AT4G32360,Solyc01g102490.3,OG0008440
AT5G43430,Solyc09g089880.3,OG0013555
AT1G72970,Solyc06g062600.3,OG0005025
AT1G72970,Solyc03g121600.4,OG0005025
AT3G47440,Solyc03g093230.4,OG0011839
AT4G33000,Solyc08g065330.3,OG0008396
AT1G24340,Solyc05g006810.4,OG0008926
AT4G39745,Solyc04g054960.1,OG0002075
AT4G39745,Solyc05g051890.1,OG0002075
AT2G22180,Solyc04g054960.1,OG0002075
AT2G22180,Solyc05g051890.1,OG0002075
AT3G02900,Solyc03g097250.4,OG0005699
AT5G16660,Solyc03g097250.4,OG0005699
AT5G54910,Solyc07g064520.3,OG0013737
AT3G02840,Solyc04g008100.3,OG0001111
AT3G02840,Solyc01g005160.4,OG0001111
AT3G02840,Solyc11g006030.1,OG0001111
AT5G37490,Solyc04g008100.3,OG0001111
AT5G37490,Solyc01g005160.4,OG0001111
AT5G37490,Solyc11g006030.1,OG0001111
AT1G66160,Solyc04g008100.3,OG0001111
AT1G66160,Solyc01g005160.4,OG0001111
AT1G66160,Solyc11g006030.1,OG0001111
AT5G24800,Solyc08g006110.4,OG0013605
AT1G24120,Solyc05g006240.4,OG0009458
AT2G33570,Solyc04g082950.4,OG0006752
AT5G10550,Solyc01g106280.3,OG0005864
AT5G65630,Solyc01g106280.3,OG0005864
AT5G52400,Solyc03g025640.2,OG0012150
AT1G34245,Solyc04g072520.3,OG0000294
AT1G34245,Solyc04g072530.2,OG0000294
AT1G34245,Solyc04g072500.1,OG0000294
AT1G34245,Solyc04g072490.4,OG0000294
AT1G34245,Solyc04g072540.3,OG0000294
AT1G34245,Solyc04g072550.3,OG0000294
AT1G34245,Solyc04g051880.3,OG0000294
AT1G34245,Solyc11g022600.2,OG0000294
AT1G34245,Solyc12g010650.1,OG0000294
AT1G34245,Solyc10g011830.1,OG0000294
AT1G34245,Solyc02g082010.3,OG0000294
AT1G34245,Solyc04g072510.3,OG0000294
AT1G19480,Solyc04g080470.4,OG0004586
AT1G75230,Solyc04g080470.4,OG0004586
AT5G43710,Solyc06g053860.3,OG0013609
AT3G50090,Solyc10g084160.2,OG0001745
AT5G05540,Solyc10g084160.2,OG0001745
AT5G67240,Solyc10g084160.2,OG0001745
AT3G50100,Solyc10g084160.2,OG0001745
AT1G69990,Solyc05g006570.1,OG0004732
AT1G27190,Solyc05g006570.1,OG0004732
AT5G07240,Solyc08g080470.3,OG0001492
AT5G07240,Solyc03g026110.4,OG0001492
AT5G62070,Solyc08g080470.3,OG0001492
AT5G62070,Solyc03g026110.4,OG0001492
AT4G23060,Solyc08g080470.3,OG0001492
AT4G23060,Solyc03g026110.4,OG0001492
AT3G56930,Solyc10g077050.2,OG0011755
AT3G05140,Solyc01g098440.3,OG0010664
AT2G33205,Solyc09g091200.3,OG0006596
AT2G01640,Solyc12g056030.2,OG0006404
AT5G56610,Solyc12g008620.2,OG0012152
AT2G38780,Solyc01g068470.4,OG0007484
AT1G48210,Solyc05g053230.3,OG0001533
AT1G48210,Solyc12g098980.2,OG0001533
AT3G17410,Solyc05g053230.3,OG0001533
AT3G17410,Solyc12g098980.2,OG0001533
AT1G48220,Solyc05g053230.3,OG0001533
AT1G48220,Solyc12g098980.2,OG0001533
AT3G07450,Solyc01g086830.4,OG0011061
AT1G67350,Solyc04g045620.3,OG0009880
AT1G20300,Solyc04g081950.4,OG0009056
AT4G23340,Solyc03g025490.3,OG0007619
AT2G34980,Solyc02g081610.3,OG0007178
AT2G12945,Solyc02g080200.4,OG0000407
AT2G12945,Solyc02g080220.3,OG0000407
AT1G44980,Solyc02g080200.4,OG0000407
AT1G44980,Solyc02g080220.3,OG0000407
AT3G27980,Solyc02g080200.4,OG0000407
AT3G27980,Solyc02g080220.3,OG0000407
AT4G03930,Solyc02g080200.4,OG0000407
AT4G03930,Solyc02g080220.3,OG0000407
AT1G11370,Solyc02g080200.4,OG0000407
AT1G11370,Solyc02g080220.3,OG0000407
AT3G42160,Solyc02g080200.4,OG0000407
AT3G42160,Solyc02g080220.3,OG0000407
AT1G11580,Solyc02g080200.4,OG0000407
AT1G11580,Solyc02g080220.3,OG0000407
AT1G11590,Solyc02g080200.4,OG0000407
AT1G11590,Solyc02g080220.3,OG0000407
AT5G66985,Solyc02g090120.1,OG0013279
AT2G03780,Solyc04g005310.3,OG0006642
AT5G20050,Solyc06g008890.4,OG0012005
AT3G01540,Solyc12g035130.2,OG0003025
AT3G06480,Solyc12g035130.2,OG0003025
AT5G14610,Solyc12g035130.2,OG0003025
AT1G71860,Solyc11g016990.3,OG0004537
AT1G71860,Solyc06g065480.4,OG0004537
AT5G41140,Solyc11g007900.3,OG0000624
AT5G41140,Solyc09g008530.3,OG0000624
AT5G41140,Solyc08g080780.4,OG0000624
AT5G41140,Solyc08g007970.3,OG0000624
AT5G41140,Solyc03g025830.4,OG0000624
AT1G63300,Solyc11g007900.3,OG0000624
AT1G63300,Solyc09g008530.3,OG0000624
AT1G63300,Solyc08g080780.4,OG0000624
AT1G63300,Solyc08g007970.3,OG0000624
AT1G63300,Solyc03g025830.4,OG0000624
AT5G52280,Solyc11g007900.3,OG0000624
AT5G52280,Solyc09g008530.3,OG0000624
AT5G52280,Solyc08g080780.4,OG0000624
AT5G52280,Solyc08g007970.3,OG0000624
AT5G52280,Solyc03g025830.4,OG0000624
AT3G14000,Solyc06g062880.2,OG0005034
AT1G54180,Solyc06g062880.2,OG0005034
AT4G38980,Solyc01g110350.2,OG0008325
AT5G54650,Solyc10g006540.4,OG0001800
AT5G54650,Solyc07g052817.1,OG0001800
AT5G54650,Solyc07g064010.3,OG0001800
AT5G54650,Solyc10g044565.1,OG0001800
AT3G22200,Solyc07g043310.3,OG0010995
AT5G18620,Solyc01g067390.4,OG0005225
AT3G06400,Solyc01g067390.4,OG0005225
AT5G27380,Solyc01g098610.4,OG0012581
AT1G59790,Solyc01g067250.3,OG0000231
AT1G59790,Solyc01g067140.2,OG0000231
AT1G59790,Solyc01g067200.1,OG0000231
AT1G59790,Solyc01g067170.1,OG0000231
AT1G59790,Solyc06g008080.2,OG0000231
AT1G59790,Solyc01g067270.4,OG0000231
AT1G59790,Solyc01g067230.4,OG0000231
AT1G59790,Solyc01g067120.4,OG0000231
AT1G59790,Solyc01g067100.4,OG0000231
AT1G59790,Solyc01g067210.4,OG0000231
AT1G43140,Solyc01g067250.3,OG0000231
AT1G43140,Solyc01g067140.2,OG0000231
AT1G43140,Solyc01g067200.1,OG0000231
AT1G43140,Solyc01g067170.1,OG0000231
AT1G43140,Solyc06g008080.2,OG0000231
AT1G43140,Solyc01g067270.4,OG0000231
AT1G43140,Solyc01g067230.4,OG0000231
AT1G43140,Solyc01g067120.4,OG0000231
AT1G43140,Solyc01g067100.4,OG0000231
AT1G43140,Solyc01g067210.4,OG0000231
AT1G02980,Solyc01g067250.3,OG0000231
AT1G02980,Solyc01g067140.2,OG0000231
AT1G02980,Solyc01g067200.1,OG0000231
AT1G02980,Solyc01g067170.1,OG0000231
AT1G02980,Solyc06g008080.2,OG0000231
AT1G02980,Solyc01g067270.4,OG0000231
AT1G02980,Solyc01g067230.4,OG0000231
AT1G02980,Solyc01g067120.4,OG0000231
AT1G02980,Solyc01g067100.4,OG0000231
AT1G02980,Solyc01g067210.4,OG0000231
AT4G02570,Solyc01g067250.3,OG0000231
AT4G02570,Solyc01g067140.2,OG0000231
AT4G02570,Solyc01g067200.1,OG0000231
AT4G02570,Solyc01g067170.1,OG0000231
AT4G02570,Solyc06g008080.2,OG0000231
AT4G02570,Solyc01g067270.4,OG0000231
AT4G02570,Solyc01g067230.4,OG0000231
AT4G02570,Solyc01g067120.4,OG0000231
AT4G02570,Solyc01g067100.4,OG0000231
AT4G02570,Solyc01g067210.4,OG0000231
AT1G59800,Solyc01g067250.3,OG0000231
AT1G59800,Solyc01g067140.2,OG0000231
AT1G59800,Solyc01g067200.1,OG0000231
AT1G59800,Solyc01g067170.1,OG0000231
AT1G59800,Solyc06g008080.2,OG0000231
AT1G59800,Solyc01g067270.4,OG0000231
AT1G59800,Solyc01g067230.4,OG0000231
AT1G59800,Solyc01g067120.4,OG0000231
AT1G59800,Solyc01g067100.4,OG0000231
AT1G59800,Solyc01g067210.4,OG0000231
AT2G14255,Solyc01g106440.3,OG0007444
AT3G47510,Solyc07g150120.1,OG0001725
AT3G47510,Solyc12g062690.2,OG0001725
AT3G47510,Solyc03g115950.3,OG0001725
AT3G47510,Solyc03g098750.3,OG0001725
AT4G11570,Solyc08g081030.1,OG0007759
AT4G27470,Solyc02g078320.3,OG0000429
AT4G27470,Solyc10g006960.3,OG0000429
AT4G27470,Solyc10g008400.1,OG0000429
AT4G27470,Solyc07g063200.3,OG0000429
AT4G27470,Solyc12g010670.1,OG0000429
AT4G27470,Solyc10g008410.1,OG0000429
AT4G27470,Solyc07g054080.3,OG0000429
AT4G27470,Solyc12g013800.3,OG0000429
AT4G28270,Solyc02g078320.3,OG0000429
AT4G28270,Solyc10g006960.3,OG0000429
AT4G28270,Solyc10g008400.1,OG0000429
AT4G28270,Solyc07g063200.3,OG0000429
AT4G28270,Solyc12g010670.1,OG0000429
AT4G28270,Solyc10g008410.1,OG0000429
AT4G28270,Solyc07g054080.3,OG0000429
AT4G28270,Solyc12g013800.3,OG0000429
AT4G34230,Solyc01g107590.3,OG0008246
AT1G76870,Solyc12g100040.2,OG0002676
AT1G76870,Solyc01g104760.2,OG0002676
AT1G21200,Solyc12g100040.2,OG0002676
AT1G21200,Solyc01g104760.2,OG0002676
AT3G04380,Solyc09g090630.3,OG0011108
AT1G25570,Solyc05g009800.4,OG0009928
AT3G48800,Solyc05g023820.3,OG0005573
AT5G23680,Solyc05g023820.3,OG0005573
AT3G23770,Solyc12g098560.2,OG0004138
AT4G14080,Solyc12g098560.2,OG0004138
AT1G06400,Solyc07g055290.3,OG0009530
AT3G60820,Solyc02g084920.3,OG0011719
AT3G12110,Solyc04g011500.3,OG0011882
AT5G04460,Solyc11g007910.2,OG0005829
AT5G04460,Solyc03g071680.2,OG0005829
AT5G27430,Solyc01g098780.3,OG0005518
AT3G05230,Solyc01g098780.3,OG0005518
AT5G27760,Solyc01g066720.3,OG0005556
AT3G05550,Solyc01g066720.3,OG0005556
AT5G47810,Solyc04g015200.3,OG0012514
AT2G06960,Solyc11g007890.2,OG0003316
AT2G36690,Solyc11g007890.2,OG0003316
AT1G10320,Solyc01g103090.4,OG0010201
AT5G53920,Solyc07g062930.3,OG0013065
AT5G54900,Solyc07g064510.3,OG0004132
AT4G27000,Solyc07g064510.3,OG0004132
AT5G13810,Solyc03g078380.1,OG0006048
AT5G13810,Solyc11g005270.1,OG0006048
