Orthogroup,Real NCBI Gene,Species
OG0000000,Solyc09g056233.1,Tomato
OG0000000,Solyc09g056397.1,Tomato
OG0000000,Solyc09g059427.1,Tomato
OG0000000,Solyc09g059677.1,Tomato
OG0000000,Solyc09g059742.1,Tomato
OG0000000,Solyc09g061545.1,Tomato
OG0000000,Solyc09g064165.1,Tomato
OG0000000,Solyc09g064243.1,Tomato
OG0000000,Solyc09g064245.1,Tomato
OG0000000,Solyc09g064645.1,Tomato
OG0000000,Solyc09g064755.1,Tomato
OG0000000,Solyc09g065105.1,Tomato
OG0000000,Solyc09g065387.1,Tomato
OG0000000,Solyc09g065885.1,Tomato
OG0000000,Solyc09g066323.1,Tomato
OG0000000,Solyc09g066327.1,Tomato
OG0000000,Solyc09g074575.1,Tomato
OG0000000,Solyc09g075965.1,Tomato
OG0000000,Solyc09g083165.1,Tomato
OG0000000,Solyc09g090875.1,Tomato
OG0000000,Solyc09g098117.1,Tomato
OG0000000,Solyc09g150145.1,Tomato
OG0000000,Solyc09g150154.1,Tomato
OG0000000,Solyc10g008455.1,Tomato
OG0000000,Solyc10g012135.1,Tomato
OG0000000,Solyc10g012147.1,Tomato
OG0000000,Solyc10g017995.1,Tomato
OG0000000,Solyc10g018027.1,Tomato
OG0000000,Solyc10g018203.1,Tomato
OG0000000,Solyc10g018325.1,Tomato
OG0000000,Solyc10g018777.1,Tomato
OG0000000,Solyc10g038045.1,Tomato
OG0000000,Solyc10g045157.1,Tomato
OG0000000,Solyc10g045437.1,Tomato
OG0000000,Solyc10g047175.1,Tomato
OG0000000,Solyc10g047653.1,Tomato
OG0000000,Solyc10g047657.1,Tomato
OG0000000,Solyc10g047825.1,Tomato
OG0000000,Solyc10g047828.1,Tomato
OG0000000,Solyc10g048005.1,Tomato
OG0000000,Solyc10g049415.1,Tomato
OG0000000,Solyc10g049585.1,Tomato
OG0000000,Solyc10g050223.1,Tomato
OG0000000,Solyc10g050227.1,Tomato
OG0000000,Solyc10g050513.1,Tomato
OG0000000,Solyc10g050517.1,Tomato
OG0000000,Solyc10g050993.1,Tomato
OG0000000,Solyc10g051255.1,Tomato
OG0000000,Solyc10g061885.1,Tomato
OG0000000,Solyc10g074475.1,Tomato
OG0000000,Solyc10g074824.1,Tomato
OG0000000,Solyc10g076405.1,Tomato
OG0000000,Solyc10g076415.1,Tomato
OG0000000,Solyc10g076435.1,Tomato
OG0000000,Solyc10g076565.1,Tomato
OG0000000,Solyc10g078275.1,Tomato
OG0000000,Solyc10g084125.1,Tomato
OG0000000,Solyc10g085205.1,Tomato
OG0000000,Solyc10g150125.1,Tomato
OG0000000,Solyc11g007915.1,Tomato
OG0000000,Solyc11g012815.1,Tomato
OG0000000,Solyc11g012995.1,Tomato
OG0000000,Solyc11g018623.1,Tomato
OG0000000,Solyc11g018778.1,Tomato
OG0000000,Solyc11g020475.1,Tomato
OG0000000,Solyc11g020785.1,Tomato
OG0000000,Solyc11g027895.1,Tomato
OG0000000,Solyc11g027897.1,Tomato
OG0000000,Solyc11g028105.1,Tomato
OG0000000,Solyc11g028217.1,Tomato
OG0000000,Solyc11g028355.1,Tomato
OG0000000,Solyc11g030553.1,Tomato
OG0000000,Solyc11g032045.1,Tomato
OG0000000,Solyc11g033286.1,Tomato
OG0000000,Solyc11g039765.1,Tomato
OG0000000,Solyc11g039785.1,Tomato
OG0000000,Solyc11g044235.1,Tomato
OG0000000,Solyc11g044325.1,Tomato
OG0000000,Solyc11g044327.1,Tomato
OG0000000,Solyc11g045125.1,Tomato
OG0000000,Solyc11g045435.1,Tomato
OG0000000,Solyc11g056595.1,Tomato
OG0000000,Solyc11g061755.1,Tomato
OG0000000,Solyc11g066005.1,Tomato
OG0000000,Solyc11g067345.1,Tomato
OG0000000,Solyc11g072935.1,Tomato
OG0000000,Solyc11g150112.1,Tomato
OG0000000,Solyc11g150113.1,Tomato
OG0000000,Solyc11g150134.1,Tomato
OG0000000,Solyc11g150135.1,Tomato
OG0000000,Solyc12g005615.1,Tomato
OG0000000,Solyc12g009535.1,Tomato
OG0000000,Solyc12g010655.1,Tomato
OG0000000,Solyc12g011085.1,Tomato
OG0000000,Solyc12g011233.1,Tomato
OG0000000,Solyc12g013935.1,Tomato
OG0000000,Solyc12g014595.1,Tomato
OG0000000,Solyc12g015927.1,Tomato
OG0000000,Solyc12g017395.1,Tomato
OG0000000,Solyc12g017575.1,Tomato
OG0000000,Solyc12g027655.1,Tomato
OG0000000,Solyc12g035192.1,Tomato
OG0000000,Solyc12g036485.1,Tomato
OG0000000,Solyc12g038015.1,Tomato
OG0000000,Solyc12g039205.1,Tomato
OG0000000,Solyc12g040575.1,Tomato
OG0000000,Solyc12g040642.1,Tomato
OG0000000,Solyc12g041895.1,Tomato
OG0000000,Solyc12g042005.1,Tomato
OG0000000,Solyc12g042215.1,Tomato
OG0000000,Solyc12g042845.1,Tomato
OG0000000,Solyc12g042855.1,Tomato
OG0000000,Solyc12g044435.1,Tomato
OG0000000,Solyc12g049475.1,Tomato
OG0000000,Solyc12g062203.1,Tomato
OG0000000,Solyc12g062345.1,Tomato
OG0000000,Solyc12g062705.1,Tomato
OG0000000,Solyc12g062828.1,Tomato
OG0000000,Solyc12g062855.1,Tomato
OG0000000,Solyc12g077395.1,Tomato
OG0000000,Solyc12g088665.1,Tomato
OG0000001,ATMG00810,Athaliana
OG0000001,Solyc00g500001.1,Tomato
OG0000001,Solyc00g500002.1,Tomato
OG0000001,Solyc00g500160.1,Tomato
OG0000001,Solyc00g500217.1,Tomato
OG0000001,Solyc00g500223.1,Tomato
OG0000001,Solyc01g010785.1,Tomato
OG0000001,Solyc01g011005.1,Tomato
OG0000001,Solyc01g011113.1,Tomato
OG0000001,Solyc01g012585.1,Tomato
OG0000001,Solyc01g015133.1,Tomato
OG0000001,Solyc01g015137.1,Tomato
OG0000001,Solyc01g015185.1,Tomato
OG0000001,Solyc01g016545.1,Tomato
OG0000001,Solyc01g016685.1,Tomato
OG0000001,Solyc01g018045.1,Tomato
OG0000001,Solyc01g022745.1,Tomato
OG0000001,Solyc01g028985.1,Tomato
OG0000001,Solyc01g034145.1,Tomato
OG0000001,Solyc01g055165.1,Tomato
OG0000001,Solyc01g057113.1,Tomato
OG0000001,Solyc01g057523.1,Tomato
OG0000001,Solyc01g058685.1,Tomato
OG0000001,Solyc01g066345.1,Tomato
OG0000001,Solyc01g066905.1,Tomato
OG0000001,Solyc01g067173.1,Tomato
OG0000001,Solyc01g067255.1,Tomato
OG0000001,Solyc01g067755.1,Tomato
OG0000001,Solyc01g079805.1,Tomato
OG0000001,Solyc01g080075.1,Tomato
OG0000001,Solyc01g095295.1,Tomato
OG0000001,Solyc01g109135.1,Tomato
OG0000001,Solyc01g150112.1,Tomato
OG0000001,Solyc01g150115.1,Tomato
OG0000001,Solyc01g150117.1,Tomato
OG0000001,Solyc01g150135.1,Tomato
OG0000001,Solyc02g005608.1,Tomato
OG0000001,Solyc02g033055.1,Tomato
OG0000001,Solyc02g038705.1,Tomato
OG0000001,Solyc02g055395.1,Tomato
OG0000001,Solyc02g061605.1,Tomato
OG0000001,Solyc02g062505.1,Tomato
OG0000001,Solyc02g062535.1,Tomato
OG0000001,Solyc02g062615.1,Tomato
OG0000001,Solyc02g062915.1,Tomato
OG0000001,Solyc02g066853.1,Tomato
OG0000001,Solyc02g150117.1,Tomato
OG0000001,Solyc03g013375.1,Tomato
OG0000001,Solyc03g031555.1,Tomato
OG0000001,Solyc03g032247.1,Tomato
OG0000001,Solyc03g033755.1,Tomato
OG0000001,Solyc03g043735.1,Tomato
OG0000001,Solyc03g046475.1,Tomato
OG0000001,Solyc03g058915.1,Tomato
OG0000001,Solyc03g059207.1,Tomato
OG0000001,Solyc03g062895.1,Tomato
OG0000001,Solyc03g063657.1,Tomato
OG0000001,Solyc03g077985.1,Tomato
OG0000001,Solyc03g078325.1,Tomato
OG0000001,Solyc03g079887.1,Tomato
OG0000001,Solyc03g082515.1,Tomato
OG0000001,Solyc03g093185.1,Tomato
OG0000001,Solyc03g093645.1,Tomato
OG0000001,Solyc03g093777.1,Tomato
OG0000001,Solyc03g095375.1,Tomato
OG0000001,Solyc03g096195.1,Tomato
OG0000001,Solyc03g150146.1,Tomato
OG0000001,Solyc04g005015.1,Tomato
OG0000001,Solyc04g015975.1,Tomato
OG0000001,Solyc04g016185.1,Tomato
OG0000001,Solyc04g025455.1,Tomato
OG0000001,Solyc04g026045.1,Tomato
OG0000001,Solyc04g039625.1,Tomato
OG0000001,Solyc04g040145.1,Tomato
OG0000001,Solyc04g048945.1,Tomato
OG0000001,Solyc04g050573.1,Tomato
OG0000001,Solyc04g050955.1,Tomato
OG0000001,Solyc04g051248.1,Tomato
OG0000001,Solyc04g054254.1,Tomato
OG0000001,Solyc04g056727.1,Tomato
OG0000001,Solyc04g074195.1,Tomato
OG0000001,Solyc04g150118.1,Tomato
OG0000001,Solyc04g150121.1,Tomato
OG0000001,Solyc04g150147.1,Tomato
OG0000001,Solyc05g015005.1,Tomato
OG0000001,Solyc05g015437.1,Tomato
OG0000001,Solyc05g015652.1,Tomato
OG0000001,Solyc05g016717.1,Tomato
OG0000001,Solyc05g017847.1,Tomato
OG0000001,Solyc05g018065.1,Tomato
OG0000001,Solyc05g018155.1,Tomato
OG0000001,Solyc05g018435.1,Tomato
OG0000001,Solyc05g018743.1,Tomato
OG0000001,Solyc05g018775.1,Tomato
OG0000001,Solyc05g023755.1,Tomato
OG0000001,Solyc05g025665.1,Tomato
OG0000001,Solyc05g025815.1,Tomato
OG0000001,Solyc05g026205.1,Tomato
OG0000001,Solyc05g026607.1,Tomato
OG0000001,Solyc05g044517.1,Tomato
OG0000001,Solyc05g047647.1,Tomato
OG0000001,Solyc05g050555.1,Tomato
OG0000001,Solyc05g050895.1,Tomato
OG0000001,Solyc05g150126.1,Tomato
OG0000001,Solyc05g150143.1,Tomato
OG0000001,Solyc05g150150.1,Tomato
OG0000001,Solyc06g006013.1,Tomato
OG0000001,Solyc06g007545.1,Tomato
OG0000001,Solyc06g009815.1,Tomato
OG0000001,Solyc06g011407.1,Tomato
OG0000001,Solyc06g017973.1,Tomato
OG0000001,Solyc06g033955.1,Tomato
OG0000001,Solyc06g035625.1,Tomato
OG0000001,Solyc06g043145.1,Tomato
OG0000001,Solyc06g043157.1,Tomato
OG0000001,Solyc06g050135.1,Tomato
OG0000001,Solyc06g050925.1,Tomato
OG0000001,Solyc07g009137.1,Tomato
OG0000001,Solyc07g014707.1,Tomato
OG0000001,Solyc07g015905.1,Tomato
OG0000001,Solyc07g017605.1,Tomato
OG0000001,Solyc07g017785.1,Tomato
OG0000001,Solyc07g017975.1,Tomato
OG0000001,Solyc07g018135.1,Tomato
OG0000001,Solyc07g018325.1,Tomato
OG0000001,Solyc07g018437.1,Tomato
OG0000001,Solyc07g020865.1,Tomato
OG0000001,Solyc07g021105.1,Tomato
OG0000001,Solyc07g022915.1,Tomato
OG0000001,Solyc07g025095.1,Tomato
OG0000001,Solyc07g026893.1,Tomato
OG0000001,Solyc07g032105.1,Tomato
OG0000001,Solyc07g032623.1,Tomato
OG0000001,Solyc07g032683.1,Tomato
OG0000001,Solyc07g039455.1,Tomato
OG0000001,Solyc07g040905.1,Tomato
OG0000001,Solyc07g041665.1,Tomato
OG0000001,Solyc07g042597.1,Tomato
OG0000001,Solyc07g043485.1,Tomato
OG0000001,Solyc07g043665.1,Tomato
OG0000001,Solyc07g045455.1,Tomato
OG0000001,Solyc07g045525.1,Tomato
OG0000001,Solyc07g052485.1,Tomato
OG0000001,Solyc07g056702.1,Tomato
OG0000001,Solyc07g061865.1,Tomato
OG0000001,Solyc07g150122.1,Tomato
OG0000001,Solyc07g150126.1,Tomato
OG0000001,Solyc08g014035.1,Tomato
OG0000001,Solyc08g014393.1,Tomato
OG0000001,Solyc08g014455.1,Tomato
OG0000001,Solyc08g014515.1,Tomato
OG0000001,Solyc08g016315.1,Tomato
OG0000001,Solyc08g016775.1,Tomato
OG0000001,Solyc08g029075.1,Tomato
OG0000001,Solyc08g029342.1,Tomato
OG0000001,Solyc08g036575.1,Tomato
OG0000001,Solyc08g041825.1,Tomato
OG0000001,Solyc08g042065.1,Tomato
OG0000001,Solyc08g043143.1,Tomato
OG0000001,Solyc08g062435.1,Tomato
OG0000001,Solyc08g062935.1,Tomato
OG0000001,Solyc08g065385.1,Tomato
OG0000001,Solyc08g065623.1,Tomato
OG0000001,Solyc08g065695.1,Tomato
OG0000001,Solyc08g066355.1,Tomato
OG0000001,Solyc08g066485.1,Tomato
OG0000001,Solyc08g066495.1,Tomato
OG0000001,Solyc08g067165.1,Tomato
OG0000001,Solyc09g011865.1,Tomato
OG0000001,Solyc09g015037.1,Tomato
OG0000001,Solyc09g015615.1,Tomato
OG0000001,Solyc09g018205.1,Tomato
OG0000001,Solyc09g037185.1,Tomato
OG0000001,Solyc09g055805.1,Tomato
OG0000001,Solyc09g056457.1,Tomato
OG0000001,Solyc09g059105.1,Tomato
OG0000001,Solyc09g059153.1,Tomato
OG0000001,Solyc09g059157.1,Tomato
OG0000001,Solyc09g059335.1,Tomato
OG0000001,Solyc09g059423.1,Tomato
OG0000001,Solyc09g059748.1,Tomato
OG0000001,Solyc09g059915.1,Tomato
OG0000001,Solyc09g059993.1,Tomato
OG0000001,Solyc09g064885.1,Tomato
OG0000001,Solyc09g064915.1,Tomato
OG0000001,Solyc09g065373.1,Tomato
OG0000001,Solyc09g065665.1,Tomato
OG0000001,Solyc09g072757.1,Tomato
OG0000001,Solyc09g074205.1,Tomato
OG0000001,Solyc09g075047.1,Tomato
OG0000001,Solyc09g092283.1,Tomato
OG0000001,Solyc09g092287.1,Tomato
OG0000001,Solyc09g150110.1,Tomato
OG0000001,Solyc09g150136.1,Tomato
OG0000001,Solyc09g150149.1,Tomato
OG0000001,Solyc09g150151.1,Tomato
OG0000001,Solyc10g008445.1,Tomato
OG0000001,Solyc10g011823.1,Tomato
OG0000001,Solyc10g017725.1,Tomato
OG0000001,Solyc10g018197.1,Tomato
OG0000001,Solyc10g019145.1,Tomato
OG0000001,Solyc10g024387.1,Tomato
OG0000001,Solyc10g038187.1,Tomato
OG0000001,Solyc10g039293.1,Tomato
OG0000001,Solyc10g044683.1,Tomato
OG0000001,Solyc10g044687.1,Tomato
OG0000001,Solyc10g045103.1,Tomato
OG0000001,Solyc10g045237.1,Tomato
OG0000001,Solyc10g046935.1,Tomato
OG0000001,Solyc10g047335.1,Tomato
OG0000001,Solyc10g047745.1,Tomato
OG0000001,Solyc10g047767.1,Tomato
OG0000001,Solyc10g048015.1,Tomato
OG0000001,Solyc10g049283.1,Tomato
OG0000001,Solyc10g049287.1,Tomato
OG0000001,Solyc10g049365.1,Tomato
OG0000001,Solyc10g049476.1,Tomato
OG0000001,Solyc10g049605.1,Tomato
OG0000001,Solyc10g049715.1,Tomato
OG0000001,Solyc10g049755.1,Tomato
OG0000001,Solyc10g049773.1,Tomato
OG0000001,Solyc10g051165.1,Tomato
OG0000001,Solyc10g052515.1,Tomato
OG0000001,Solyc10g074828.1,Tomato
OG0000001,Solyc10g084605.1,Tomato
OG0000001,Solyc10g150107.1,Tomato
OG0000001,Solyc10g150126.1,Tomato
OG0000001,Solyc10g150132.1,Tomato
OG0000001,Solyc11g010815.1,Tomato
OG0000001,Solyc11g013855.1,Tomato
OG0000001,Solyc11g020847.1,Tomato
OG0000001,Solyc11g032065.1,Tomato
OG0000001,Solyc11g039573.1,Tomato
OG0000001,Solyc11g040225.1,Tomato
OG0000001,Solyc11g044323.1,Tomato
OG0000001,Solyc11g045338.1,Tomato
OG0000001,Solyc11g051015.1,Tomato
OG0000001,Solyc11g062065.1,Tomato
OG0000001,Solyc11g063747.1,Tomato
OG0000001,Solyc11g064945.1,Tomato
OG0000001,Solyc11g065935.1,Tomato
OG0000001,Solyc12g014545.1,Tomato
OG0000001,Solyc12g017705.1,Tomato
OG0000001,Solyc12g019973.1,Tomato
