"","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash"
"923","SRR15199673","2021-08-10 04:48:11","2021-08-10 03:34:32",660455550,84538310400,660455550,128,47840,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15199/SRR15199673/SRR15199673.lite.1","SRX11506202","LD_LG","RNA-Seq","Oligo-dT","TRANSCRIPTOMIC","PAIRED",0,0,"BGISEQ","BGISEQ-500","SRP329017","PRJNA747757",NA,747757,"SRS9544881","SAMN20218741","simple",28377,"Anolis carolinensis","LD_LG",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"BGI-SHENZHEN","SRA1261857",NA,"public","B54AAA183098DB175C7CD20D6EF84940","152665E47CAD1B4A7356574D96F04923"
"19","SRR14288905","2021-04-20 22:12:27","2021-04-20 22:06:57",40255403,12076620900,0,300,4795,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288905/SRR14288905.lite.1","SRX10646893","505-MID","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742461","SAMN18813460","simple",28377,"Anolis carolinensis","505-MID",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","5F91107A32C3008D680FC424992AA99C","EB86B3C440BB8297B67666DCCCBBC787"
"21","SRR14288906","2021-04-20 22:17:53","2021-04-20 22:15:07",37024925,11107477500,0,300,4403,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288906/SRR14288906.lite.1","SRX10646892","505-VMH","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742460","SAMN18813459","simple",28377,"Anolis carolinensis","505-VMH",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","EAB29738197A83ED07AFEDDCE4364DBD","F03A54C85A40CE149EE66918FE9FEE16"
"1076","SRR14288907","2021-04-21 21:16:55","2021-04-21 21:11:03",72359454,21707836200,0,300,8779,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288907/SRR14288907.lite.1","SRX10646891","W05-H","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742459","SAMN18813458","simple",28377,"Anolis carolinensis","W05-H",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","424F30D4123B6DB40FFF7676F01D8C47","935C456F89DD369B855DDE62E604376F"
"1080","SRR14288908","2021-04-20 22:11:17","2021-04-20 22:08:35",40254000,12076200000,0,300,4862,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288908/SRR14288908.lite.1","SRX10646890","W11-H","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742458","SAMN18813457","simple",28377,"Anolis carolinensis","W11-H",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","76292BD0277983C872BD470C96E8CC7E","CE25ACAE960173BF023C3F474C9E88B9"
"1078","SRR14288909","2021-04-20 22:22:18","2021-04-20 22:19:30",48918640,14675592000,0,300,5858,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288909/SRR14288909.lite.1","SRX10646889","W05-VMH","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742457","SAMN18813456","simple",28377,"Anolis carolinensis","W05-VMH",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","AA0F52E22A86D92FBB28C265DCEEEAEA","E80BB0179550630DCB4F28879F18431A"
"1042","SRR14288910","2021-04-20 22:20:51","2021-04-20 22:16:17",47828110,14348433000,0,300,5814,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288910/SRR14288910.lite.1","SRX10646888","Sample56","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742456","SAMN18813499","simple",28377,"Anolis carolinensis","Sample56",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","C7EED519EB8257802EDFDBEE02690741","CC269AA2341FB11184D55735029DE0DE"
"1069","SRR14288911","2021-04-20 21:51:12","2021-04-20 21:44:55",1142,342600,0,300,0,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288911/SRR14288911.lite.1","SRX10646887","W02-DVR","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742455","SAMN18813498","simple",28377,"Anolis carolinensis","W02-DVR",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","E6356650B1937C518A1BB6A31D2B753A","CF2D13AD72033C2559655A8F24C39C16"
"18","SRR14288912","2021-04-20 22:25:40","2021-04-20 22:19:35",50332940,15099882000,0,300,6082,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288912/SRR14288912.lite.1","SRX10646886","505-H","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742454","SAMN18813497","simple",28377,"Anolis carolinensis","505-H",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","E84F519CC3CEE534A22302CCA5694A5B","387C378D17077365CD46C9A280250D75"
"17","SRR14288913","2021-04-20 22:19:26","2021-04-20 22:14:41",56290525,16887157500,0,300,6795,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288913/SRR14288913.lite.1","SRX10646885","505-DVR","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742453","SAMN18813496","simple",28377,"Anolis carolinensis","505-DVR",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","7F38B6D107B5DB58F8EDF841D0B85EA3","DCD9A0AF2B62B39C084B84504D2217FE"
"1053","SRR14288914","2021-04-20 22:24:09","2021-04-20 22:20:06",44630631,13389189300,0,300,5317,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288914/SRR14288914.lite.1","SRX10646884","T22-H","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742452","SAMN18813495","simple",28377,"Anolis carolinensis","T22-H",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","6A45C5CF8E66DE5643F216D6D93B2D5A","144A860CCA1EE6CFCD2EDA96029524B1"
"1085","SRR14288915","2021-04-20 22:08:02","2021-04-20 22:03:45",33398334,10019500200,0,300,4034,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288915/SRR14288915.lite.1","SRX10646883","WI5-VMH","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742451","SAMN18813494","simple",28377,"Anolis carolinensis","WI5-VMH",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","0D3FF02A237B505F24DE5A9A9362CEAB","6BA444979101770B00B966CA90FDE17A"
"1054","SRR14288916","2021-04-20 22:17:53","2021-04-20 22:12:36",43474492,13042347600,0,300,5262,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288916/SRR14288916.lite.1","SRX10646882","T22-MID","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742450","SAMN18813493","simple",28377,"Anolis carolinensis","T22-MID",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","94A065001E3BEA32338FA20D9947E81B","6956CE1A4D1689DFA652ADFDB4C4F3D4"
"1083","SRR14288917","2021-04-20 22:30:57","2021-04-20 22:24:24",51651918,15495575400,0,300,6134,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288917/SRR14288917.lite.1","SRX10646881","WI5-MID","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742449","SAMN18813492","simple",28377,"Anolis carolinensis","WI5-MID",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","985F9CC9DBDCD23C024B9100A3A8693F","0277C5C2F77965F4DF61950AE4D62DED"
"13","SRR14288918","2021-04-20 22:17:53","2021-04-20 22:14:49",42416089,12724826700,0,300,5021,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288918/SRR14288918.lite.1","SRX10646880","503-MID","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742448","SAMN18813491","simple",28377,"Anolis carolinensis","503-MID",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","8D33992BABA4B884BCCE94EC474CE140","E48E4D809092FBE45B56DF3FCE313BFE"
"1071","SRR14288919","2021-04-20 22:25:40","2021-04-20 22:21:05",43133374,12940012200,0,300,5245,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288919/SRR14288919.lite.1","SRX10646879","W02-MID","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742447","SAMN18813455","simple",28377,"Anolis carolinensis","W02-MID",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","AE579262689E172E0DD4246192AEEC70","517545299B4FCE2182077F1AA500E2D1"
"12","SRR14288920","2021-04-20 22:11:03","2021-04-20 22:07:00",45524678,13657403400,0,300,5435,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288920/SRR14288920.lite.1","SRX10646878","503-H","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742445","SAMN18813490","simple",28377,"Anolis carolinensis","503-H",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","3FD4509B83ED4DD2D6712DC7D6A46087","BB5FDB7A75FF7834A51047771B101698"
"1073","SRR14288921","2021-04-20 22:11:17","2021-04-20 22:07:43",40924004,12277201200,0,300,4836,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288921/SRR14288921.lite.1","SRX10646877","W02-VMH","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742446","SAMN18813489","simple",28377,"Anolis carolinensis","W02-VMH",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","CE328737F2426B9B2580C856FC627AF5","25591139A2888C1422C8E813A1EB8811"
"1084","SRR14288922","2021-04-20 22:30:57","2021-04-20 22:25:36",55364551,16609365300,0,300,6545,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288922/SRR14288922.lite.1","SRX10646876","WI5-PVR","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742444","SAMN18813488","simple",28377,"Anolis carolinensis","WI5-PVR",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","387F1AC012020BDF5A837321BB839D86","4D70C4097F5AC57E29E76CEB1EA0A17B"
"1055","SRR14288923","2021-04-20 22:11:17","2021-04-20 22:05:07",42130192,12639057600,0,300,5045,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288923/SRR14288923.lite.1","SRX10646875","T22-POA","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742443","SAMN18813487","simple",28377,"Anolis carolinensis","T22-POA",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","F49F007408894B4C37C5152F472152F7","A31EB09186FAC02912785FA6EA06BE9D"
"1082","SRR14288924","2021-04-20 22:22:18","2021-04-20 22:14:13",54773082,16431924600,0,300,6512,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288924/SRR14288924.lite.1","SRX10646874","WI5-COR","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742442","SAMN18813486","simple",28377,"Anolis carolinensis","WI5-COR",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","4776C15F0DBFACF762E70DA599055F11","1431FEA39912F7DEE6AD45B522A7B6C4"
"1051","SRR14288925","2021-04-20 22:14:59","2021-04-20 22:05:04",35535870,10660761000,0,300,4369,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288925/SRR14288925.lite.1","SRX10646873","T22-COR","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742441","SAMN18813485","simple",28377,"Anolis carolinensis","T22-COR",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","F9FB00E12DC6A8CEF2E69E21FD93F23F","4473FD36F87ED532CBA745FCB7F93D7D"
"14","SRR14288926","2021-04-20 22:05:32","2021-04-20 22:03:12",35045298,10513589400,0,300,4161,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288926/SRR14288926.lite.1","SRX10646872","503-POA","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742440","SAMN18813484","simple",28377,"Anolis carolinensis","503-POA",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","1B48C77D3020E90EF3D7062844C9ABC3","6E2D1723165308664501BE4885C98FF1"
"1068","SRR14288927","2021-04-20 22:25:40","2021-04-20 22:11:31",39947733,11984319900,0,300,4781,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288927/SRR14288927.lite.1","SRX10646871","W02-COR","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742439","SAMN18813483","simple",28377,"Anolis carolinensis","W02-COR",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","20565393E7F021487D8CCE346D505702","5499530F544E5D484179BC769C731361"
"1052","SRR14288928","2021-04-20 22:04:10","2021-04-20 21:59:49",33509394,10052818200,0,300,3972,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288928/SRR14288928.lite.1","SRX10646870","T22-DVR","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742437","SAMN18813482","simple",28377,"Anolis carolinensis","T22-DVR",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","16CA014D5297DECCD61CF5262B1A4F24","0D5618994B65A4E20E012294EEAB0588"
"1081","SRR14288929","2021-04-20 22:11:03","2021-04-20 22:07:27",38904590,11671377000,0,300,4638,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288929/SRR14288929.lite.1","SRX10646869","W11-POA","RNA-Seq","other","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP315595","PRJNA723338",NA,723338,"SRS8742438","SAMN18813481","simple",28377,"Anolis carolinensis","W11-POA",NA,NA,NA,NA,"male",NA,"no",NA,NA,NA,NA,"STANFORD UNIVERSITY","SRA1221121",NA,"public","7A7B48E871BE3BE22FD0ECD26DADC182","7C353526D615255B6ADB50F3326392D8"
