Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14288949,2021-04-20 22:17:53,2021-04-20 22:13:42,45349328,13604798400,0,300,5538,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288949/SRR14288949.lite.1,SRX10646849,503-COR,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742416,SAMN18813463,simple,28377,Anolis carolinensis,503-COR,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,8AB7DF3C5AE74A1C7859E2590629302B,F0240C57F6F67D936F57461E5A09B519
SRR14288920,2021-04-20 22:11:03,2021-04-20 22:07:00,45524678,13657403400,0,300,5435,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288920/SRR14288920.lite.1,SRX10646878,503-H,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742445,SAMN18813490,simple,28377,Anolis carolinensis,503-H,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,3FD4509B83ED4DD2D6712DC7D6A46087,BB5FDB7A75FF7834A51047771B101698
SRR14288918,2021-04-20 22:17:53,2021-04-20 22:14:49,42416089,12724826700,0,300,5021,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288918/SRR14288918.lite.1,SRX10646880,503-MID,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742448,SAMN18813491,simple,28377,Anolis carolinensis,503-MID,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,8D33992BABA4B884BCCE94EC474CE140,E48E4D809092FBE45B56DF3FCE313BFE
SRR14288926,2021-04-20 22:05:32,2021-04-20 22:03:12,35045298,10513589400,0,300,4161,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288926/SRR14288926.lite.1,SRX10646872,503-POA,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742440,SAMN18813484,simple,28377,Anolis carolinensis,503-POA,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,1B48C77D3020E90EF3D7062844C9ABC3,6E2D1723165308664501BE4885C98FF1
SRR14288948,2021-04-20 22:28:02,2021-04-20 22:24:40,56664669,16999400700,0,300,6786,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288948/SRR14288948.lite.1,SRX10646850,503-VMH,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742417,SAMN18813464,simple,28377,Anolis carolinensis,503-VMH,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,43A22A47E0447A89C482C028F6555269,32A7BA499FACA8A417CC0E445AD233B7
SRR14288943,2021-04-21 21:10:56,2021-04-21 21:05:21,57105154,17131546200,0,300,6829,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288943/SRR14288943.lite.1,SRX10646855,505-COR,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742423,SAMN18813469,simple,28377,Anolis carolinensis,505-COR,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,5FBFB26A2D9F5C3726EE814DA609CDE9,7E4F110C711A2429ACBFF4350CCA1B09
SRR14288913,2021-04-20 22:19:26,2021-04-20 22:14:41,56290525,16887157500,0,300,6795,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288913/SRR14288913.lite.1,SRX10646885,505-DVR,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742453,SAMN18813496,simple,28377,Anolis carolinensis,505-DVR,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,7F38B6D107B5DB58F8EDF841D0B85EA3,DCD9A0AF2B62B39C084B84504D2217FE
SRR14288912,2021-04-20 22:25:40,2021-04-20 22:19:35,50332940,15099882000,0,300,6082,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288912/SRR14288912.lite.1,SRX10646886,505-H,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742454,SAMN18813497,simple,28377,Anolis carolinensis,505-H,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,E84F519CC3CEE534A22302CCA5694A5B,387C378D17077365CD46C9A280250D75
SRR14288905,2021-04-20 22:12:27,2021-04-20 22:06:57,40255403,12076620900,0,300,4795,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288905/SRR14288905.lite.1,SRX10646893,505-MID,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742461,SAMN18813460,simple,28377,Anolis carolinensis,505-MID,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,5F91107A32C3008D680FC424992AA99C,EB86B3C440BB8297B67666DCCCBBC787
SRR14288944,2021-04-20 22:16:27,2021-04-20 22:09:47,45837797,13751339100,0,300,5449,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288944/SRR14288944.lite.1,SRX10646854,505-POA,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742421,SAMN18813468,simple,28377,Anolis carolinensis,505-POA,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,8C063C4746B6C8C1F91D300EBDF3DDE8,0DAB3ACD5DEDEDFE6EBC89A1AF4C4A01
SRR14288906,2021-04-20 22:17:53,2021-04-20 22:15:07,37024925,11107477500,0,300,4403,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288906/SRR14288906.lite.1,SRX10646892,505-VMH,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742460,SAMN18813459,simple,28377,Anolis carolinensis,505-VMH,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,EAB29738197A83ED07AFEDDCE4364DBD,F03A54C85A40CE149EE66918FE9FEE16
SRR14288947,2021-04-20 22:28:02,2021-04-20 22:21:55,57073483,17122044900,0,300,6808,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288947/SRR14288947.lite.1,SRX10646851,510-DVR,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742418,SAMN18813465,simple,28377,Anolis carolinensis,510-DVR,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,86FE7FDB21667374FC86F077DDA5B392,FEF21C2B4AC66EC3B175129E3C002AC0
SRR14288951,2021-04-20 22:17:53,2021-04-20 22:13:52,46566553,13969965900,0,300,5569,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288951/SRR14288951.lite.1,SRX10646847,510-FOA,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742413,SAMN18813461,simple,28377,Anolis carolinensis,510-FOA,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,1AA3A1A569D1D901139F1F1DE407F62E,343CB2A8E12EB82A0000AE4B8EBF934A
SRR14288942,2021-04-20 22:14:59,2021-04-20 22:09:12,42893387,12868016100,0,300,5153,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288942/SRR14288942.lite.1,SRX10646856,511-COR,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742425,SAMN18813470,simple,28377,Anolis carolinensis,511-COR,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,7F28B5031CCDAA73C8444DCE10B1FC3F,66EC97F58B7210F8C45C965C5BCDC577
SRR14288937,2021-04-20 21:51:12,2021-04-20 21:45:46,5666,1699800,0,300,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288937/SRR14288937.lite.1,SRX10646861,511-DVR,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742429,SAMN18813474,simple,28377,Anolis carolinensis,511-DVR,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,3EE097729AA512CB04350C6F7F8C4C65,F82FD745F419D0A55C46C8C68F04DCD4
SRR14288941,2021-04-20 22:28:02,2021-04-20 22:22:32,52600000,15780000000,0,300,6290,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288941/SRR14288941.lite.1,SRX10646857,511-H,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742424,SAMN18813453,simple,28377,Anolis carolinensis,511-H,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,AC970D535CA6D4452B382412A0B54434,A871BA269A2EE4B2DDB9997E2D1B97E8
SRR14288950,2021-04-20 22:16:27,2021-04-20 22:13:18,35987784,10796335200,0,300,4250,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288950/SRR14288950.lite.1,SRX10646848,511-MID,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742419,SAMN18813462,simple,28377,Anolis carolinensis,511-MID,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,19E3D4D5624E081AEF0651878E156F1D,08E39350429F4DC3945B52ED1020E437
SRR14288946,2021-04-21 21:19:46,2021-04-21 21:11:58,68198939,20459681700,0,300,8041,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14288/SRR14288946/SRR14288946.lite.1,SRX10646852,511-POA,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP315595,PRJNA723338,,723338,SRS8742420,SAMN18813466,simple,28377,Anolis carolinensis,511-POA,,,,,male,,no,,,,,STANFORD UNIVERSITY,SRA1221121,,public,B978E4F66A4E8A313DBA4802DD5F56DA,D116B7A0962FE7326D936A2A5D8F417E
SRR8983037,2019-04-29 02:52:12,2019-04-29 02:42:11,122292082,24703000564,122292082,202,10636,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983037.sralite.1,SRX5762331,AC13-4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697033,SAMN11458500,simple,28377,Anolis carolinensis,AC13-4,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,AC4139A2856D427AC82FB2F2C430C7E7,A8A6D370260FF7751C8DEFEDBE078A27
SRR8983040,2019-04-29 02:51:12,2019-04-29 02:42:39,111444351,22511758902,111444351,202,9850,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983040.sralite.1,SRX5762328,AC13-5,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697030,SAMN11458501,simple,28377,Anolis carolinensis,AC13-5,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,13409C38EEB168EDCF10DAB0E51D3AC7,0CD9BAC94F143B4488305AF67B65CE18
SRR8983039,2019-04-29 02:37:11,2019-04-29 02:28:38,85975484,17367047768,85975484,202,6968,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983039.sralite.1,SRX5762329,AC13-7,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697031,SAMN11458502,simple,28377,Anolis carolinensis,AC13-7,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,45D1FDB49A5E7DBBF477C75263CAEA95,64E71B63C35E8EB5EA75D971E4B61EC6
SRR8983032,2019-04-29 03:04:12,2019-04-29 02:54:15,153644964,31036282728,153644964,202,12689,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983032.sralite.1,SRX5762336,AC13-8,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697038,SAMN11458503,simple,28377,Anolis carolinensis,AC13-8,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,93103AAF145E489DD7A28562C6C33451,68F444FD2D592FD7672F582F5C3E5244
SRR8983031,2019-04-29 02:44:11,2019-04-29 02:37:10,91982094,18580382988,91982094,202,7854,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983031.sralite.1,SRX5762337,AC20-1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697039,SAMN11458504,simple,28377,Anolis carolinensis,AC20-1,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,341F6A76DDBA944ED83B8CFEDFD72CE7,4101D0151646A2A1D077FBB2360CAC80
SRR8983024,2019-04-29 02:56:12,2019-04-29 02:50:09,140901136,28462029472,140901136,202,11299,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983024.sralite.1,SRX5762344,AC20-6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697046,SAMN11458505,simple,28377,Anolis carolinensis,AC20-6,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,F02238259E343DA471C54231B18C7842,564161C76A6FDB6AAF4724A081BBBBBF
SRR8983023,2019-04-29 02:42:11,2019-04-29 02:35:20,98707535,19938922070,98707535,202,8266,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983023.sralite.1,SRX5762345,AC27-3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697047,SAMN11458506,simple,28377,Anolis carolinensis,AC27-3,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,B2417FC21FB82FA2EC4ACD65038B7994,CBACF11AC340407091AEB86E36989C4D
SRR8983022,2019-04-29 02:42:11,2019-04-29 02:34:11,101092258,20420636116,101092258,202,8373,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983022.sralite.1,SRX5762346,AC27-4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697048,SAMN11458507,simple,28377,Anolis carolinensis,AC27-4,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,95989BFD2704ED3DD1AD9E884DB665CB,27F9F0AD97AC23E47EAEF544464AA832
SRR8983021,2019-04-29 03:00:11,2019-04-29 02:52:05,144121635,29112570270,144121635,202,11844,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983021.sralite.1,SRX5762347,AC36-1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697049,SAMN11458508,simple,28377,Anolis carolinensis,AC36-1,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,77D7B73DF5464981176F146F8F76643A,DB49FDB41DEC8B8F44299DEBCA04EC2B
SRR8983028,2019-04-29 02:42:11,2019-04-29 02:33:05,98059485,19808015970,98059485,202,8352,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983028.sralite.1,SRX5762340,AC38-4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697042,SAMN11458509,simple,28377,Anolis carolinensis,AC38-4,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,8872E06844045093D8125D7F8FC40D62,936168F6625787D531DEA85419583F68
SRR8983027,2019-04-29 02:35:12,2019-04-29 02:29:09,86854396,17544587992,86854396,202,7436,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983027.sralite.1,SRX5762341,AC8-13,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697043,SAMN11458510,simple,28377,Anolis carolinensis,AC8-13,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,9866AB0919849CF9522AB1CB8608826B,9BAFDDF98D37EB9C824741429973B90B
SRR8983026,2019-04-29 02:53:11,2019-04-29 02:46:44,149925158,30284881916,149925158,202,12416,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983026.sralite.1,SRX5762342,AC8-8,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697044,SAMN11458511,simple,28377,Anolis carolinensis,AC8-8,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,A481709095D5F8C1213FA11DC40479E9,4C6AC54FECF26B8A8C8946E2D32FC248
SRR7497942,2018-07-09 08:59:12,2018-07-09 08:50:48,494512,241493307,494512,488,141,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/497/SRR7497942/SRR7497942.sralite.1,SRX4367383,ACAB,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP071919,PRJNA315497,,315497,SRS1346132,SAMN04563547,simple,28377,Anolis carolinensis,ACA_B,,,,,male,,no,,,,,INSTITUTE OF MOLECULAR AND CELLULAR BIOLOGY SB RAS,SRA735588,,public,C8DB339C1BC92C197234343E1673BF5A,9057F0AC792EBD7839C9AAFD760BEE74
