,arabidopsis,rice_jp,Group Number,Species 1 Score,Species 2 Score,Total Score
182,AT3G49940,Os03g0609500,78,0.5611893803502008,0.5313649478696476,0.5462771641099242
183,AT5G67420,Os07g0589000,78,0.5219625541802583,0.7503711964314164,0.6361668753058374
184,AT5G67420,Os03g0445700,78,0.4409714464453282,0.6475067707503585,0.5442391085978433
185,AT5G67420,Os03g0609500,78,0.6359756914964922,0.6852601207229215,0.6606179061097068
186,AT4G37540,Os07g0589000,78,0.7728674203494348,0.7640592639796081,0.7684633421645215
187,AT4G37540,Os03g0445700,78,0.6456052549264936,0.6371621262811321,0.6413836906038128
188,AT4G37540,Os03g0609500,78,0.7877410582625293,0.6270653001256793,0.7074031791941042
189,AT5G13520,Os03g0819100,79,0.9286256886239013,0.9266783495300303,0.9276520190769657
190,AT3G59220,Os03g0845000,80,0.7312808138582302,0.6957208857734587,0.7135008498158444
191,AT3G59220,Os09g0484800,80,0.7151049346857917,0.5925477492786716,0.6538263419822317
192,AT2G43120,Os03g0845000,80,0.8763684704410385,0.733764537199299,0.8050665038201688
193,AT2G43120,Os09g0484800,80,0.8127709012913893,0.6665462977714053,0.7396585995313973
194,AT1G50590,Os03g0845000,80,0.6895527056615577,0.6378206149434443,0.663686660302501
195,AT1G50590,Os09g0484800,80,0.690211805710711,0.6568813835342432,0.673546594622477
196,AT1G42480,Os02g0117200,82,0.8910585817060637,0.8941532579257607,0.8926059198159122
197,AT3G16800,Os05g0358500,83,0.7688840941443827,0.7275704954596145,0.7482272948019986
198,AT3G05640,Os05g0358500,83,0.8547171136205499,0.7907280548032499,0.8227225842118999
199,AT5G27930,Os05g0358500,83,0.6105388980740873,0.6562561733312091,0.6333975357026482
200,AT4G10810,Os10g0502100,84,0.8833013092631485,0.7252891508682492,0.8042952300656989
201,AT4G10170,Os08g0110300,85,0.6379705463668107,0.6342520312251075,0.6361112887959591
202,AT1G33475,Os08g0110300,85,0.45034407256803255,0.6222590409431257,0.5363015567555791
203,AT2G03280,Os06g0284200,86,0.7943786585638323,0.8162880356858372,0.8053333471248347
204,AT2G03280,Os03g0328100,86,0.8092586800125118,0.8588242791142265,0.8340414795633692
205,AT2G03280,Os03g0169000,86,0.8238259082175254,0.882956826509479,0.8533913673635023
206,AT2G03280,Os02g0726500,86,0.7461280664909066,0.8375402262227178,0.7918341463568122
207,AT1G14020,Os06g0284200,86,0.791647782040561,0.7669141309542775,0.7792809564974192
208,AT1G14020,Os03g0328100,86,0.7798510082794456,0.7621284052891509,0.7709897067842983
209,AT1G14020,Os03g0169000,86,0.7063509795535355,0.8369093516010834,0.7716301655773095
210,AT1G14020,Os02g0726500,86,0.823718664819697,0.7568647443046042,0.7902917045621506
211,AT5G15740,Os06g0284200,86,0.6848496358192949,0.857874780946312,0.7713622083828034
212,AT5G15740,Os03g0328100,86,0.6903905447070915,0.8870160904890871,0.7887033175980893
213,AT5G15740,Os03g0169000,86,0.5759305598999062,0.7934682173012586,0.6846993886005823
214,AT5G15740,Os02g0726500,86,0.6582957236695116,0.8528277839732357,0.7555617538213737
215,AT3G02250,Os06g0284200,86,0.7259707761740918,0.7859168392544209,0.7559438077142564
216,AT3G02250,Os03g0328100,86,0.6263461280664909,0.8098136052254261,0.7180798666459585
217,AT3G02250,Os03g0169000,86,0.6194423343312927,0.7509319738728693,0.685187154102081
218,AT3G02250,Os02g0726500,86,0.7116269717145538,0.8369157240720089,0.7742713478932813
219,AT5G06980,Os01g0281100,91,0.9433461216829554,0.8257256651266529,0.8845358934048042
220,AT3G12320,Os01g0281100,91,0.9780470211231193,0.8174414529233711,0.8977442370232451
221,AT1G25220,Os04g0463500,92,0.8565867802652287,0.8531039243800117,0.8548453523226203
222,AT1G25220,Os03g0718000,92,0.7184413959515618,0.793525569539589,0.7559834827455754
223,AT5G57890,Os04g0463500,92,0.537501675678091,0.31501247942222926,0.4262570775501602
224,AT5G57890,Os03g0718000,92,0.5714397426158452,0.4588306515851521,0.5151351971004987
225,AT3G04130,Os02g0601600,94,0.9705399832751368,0.9453178269874144,0.9579289051312756
226,AT1G44446,Os10g0567400,96,0.9092080372968706,0.98484626413892,0.9470271507178953
227,AT1G44446,Os10g0567100,96,0.2297466374726306,0.4675906749508789,0.34866865621175475
228,AT5G59290,Os03g0278000,97,0.9291523303096653,0.9416281663214912,0.9353902483155783
229,AT2G28760,Os03g0278000,97,0.8621475490415121,0.8683957304444798,0.865271639742996
230,AT3G46440,Os03g0278000,97,0.7819433893878686,0.8838617173809145,0.8329025533843915
231,AT3G25070,Os03g0848600,98,0.7081281558604049,0.7419404173968456,0.7250342866286252
232,AT3G04380,Os02g0621100,100,0.4876255162684405,0.499168392544209,0.49339695440632475
233,AT5G43990,Os02g0621100,100,0.4573186171559647,0.5158706388402103,0.4865946279980875
234,AT2G43080,Os04g0346000,102,0.8232207490440655,0.7965588657001752,0.8098898073721204
235,AT5G59440,Os07g0639900,103,0.819709804472305,0.7349441523728604,0.7773269784225827
236,AT1G11570,Os08g0532300,104,0.705512608546703,0.8331049864584993,0.7693087975026012
237,AT1G11570,Os01g0788200,104,0.7829214888958399,0.6702373745419787,0.7265794317189094
238,AT1G27970,Os08g0532300,104,0.8352175402535115,0.8272550581487973,0.8312362992011544
239,AT1G27970,Os01g0788200,104,0.7734036373385763,0.6342647761669588,0.7038342067527675
240,AT1G27310,Os08g0532300,104,0.9588006613342867,0.8598056396367691,0.9093031504855279
241,AT1G27310,Os01g0788200,104,0.7712945171812859,0.6277712282937709,0.6995328727375284
242,AT4G35180,Os04g0562100,105,0.30487845748246123,0.32702246296001275,0.31595046022123696
243,AT4G35180,Os12g0485600,105,0.13426091424996647,0.20513621156603473,0.16969856290800062
244,AT1G47670,Os04g0562100,105,0.6165601680146566,0.6794073602039191,0.6479837641092878
245,AT1G47670,Os12g0485600,105,0.6999642522007239,0.8735191970686634,0.7867417246346937
246,AT5G16450,Os01g0722800,106,0.8248357835470754,0.87242313206946,0.8486294578082677
247,AT5G56260,Os01g0722800,106,0.7593343249091943,0.8730986139875737,0.816216469448384
248,AT3G02770,Os01g0722800,106,0.7997179895834886,0.874373108172694,0.8370455488780912
249,AT2G33680,Os01g0374200,107,0.992341034005094,0.9264744304604111,0.9594077322327526
250,AT4G16760,Os06g0103500,108,0.9487912775369767,0.8722447028835432,0.9105179902102599
251,AT2G35690,Os06g0103500,108,0.8524360635715031,0.7917795125059742,0.8221077880387386
252,AT2G41835,Os07g0569700,109,0.8349613476920327,0.8702055121873506,0.8525834299396917
253,AT3G57480,Os07g0569700,109,0.8017486631812561,0.8894248844989644,0.8455867738401103
254,AT5G61430,Os04g0460600,111,0.8801778453013986,0.7111741277680421,0.7956759865347204
255,AT5G61430,Os03g0327100,111,0.8043813396487779,0.6578779671817747,0.7311296534152762
256,AT5G07680,Os04g0460600,111,0.9112471513472451,0.7093388561414689,0.810293003744357
257,AT5G07680,Os03g0327100,111,0.879449483891148,0.6769396208379799,0.7781945523645639
258,AT5G18270,Os04g0460600,111,0.657108386050698,0.6967978333598853,0.6769531097052917
259,AT5G18270,Os03g0327100,111,0.8415542632442405,0.7875338537517923,0.8145440584980164
260,AT3G04060,Os04g0460600,111,0.7577384410129395,0.7491795443683288,0.7534589926906341
261,AT3G04060,Os03g0327100,111,0.8347238801682699,0.7688306515851522,0.801777265876711
262,AT3G29035,Os04g0460600,111,0.7428648030998448,0.6743285008762148,0.7085966519880298
263,AT3G29035,Os03g0327100,111,0.8708674586506483,0.5942647761669587,0.7325661174088035
264,AT5G39610,Os04g0460600,111,0.7821419882727358,0.7016090489087143,0.7418755185907251
265,AT5G39610,Os03g0327100,111,0.8643718565520254,0.681583559025012,0.7729777077885187
266,AT2G42810,Os05g0204900,112,0.9434916662942938,0.8721172534650311,0.9078044598796624
267,AT2G37150,Os01g0159300,113,0.7827619005062144,0.7812012107694759,0.7819815556378451
268,AT2G37150,Os05g0163400,113,0.8860092050583136,0.8560777441452924,0.871043474601803
269,AT4G00070,Os01g0159300,113,0.6644877531869802,0.589944240879401,0.6272159970331905
270,AT4G00070,Os05g0163400,113,0.6799486763738964,0.5503329616058626,0.6151408189898795
271,AT2G40390,Os03g0375200,114,0.6171946914518075,0.28102596781902184,0.44911032963541464
272,AT2G40390,Os01g0165100,114,0.5886858215291122,0.5884148478572567,0.5885503346931844
273,AT5G64190,Os03g0375200,114,0.5996544379403309,0.539200254898837,0.569427346419584
274,AT5G64190,Os01g0165100,114,0.6618705035971223,0.7180691413095427,0.6899698224533325
275,AT2G15020,Os03g0375200,114,0.9845390768130837,0.9323880834793691,0.9584635801462265
276,AT2G15020,Os01g0165100,114,0.1532984792290391,0.3246072964792098,0.23895288785412444
277,AT4G36720,Os07g0568400,115,0.8358927764620602,0.8503361478413255,0.8431144621516928
278,AT2G40570,Os06g0555500,116,0.9106156068933674,0.7887844511709415,0.8497000290321545
279,AT3G11950,Os12g0181300,117,0.6763185724712156,0.6157846104827147,0.6460515914769651
280,AT1G01470,Os01g0225600,118,0.508818854410704,0.7025224364080506,0.6056706454093772
281,AT1G01470,Os05g0584200,118,0.7466566232373463,0.8897739542952224,0.8182152887662844
282,AT2G46140,Os01g0225600,118,0.6751369091062553,0.5083107641654718,0.5917238366358636
283,AT2G46140,Os05g0584200,118,0.6694073312778348,0.7023949869895386,0.6859011591336868
284,AT1G04640,Os03g0321800,119,0.1377072255239287,0.5577696351760395,0.3477384303499841
285,AT3G44100,Os03g0788200,120,0.8590196166048527,0.8779098295364027,0.8684647230706277
286,AT3G44100,Os07g0159800,120,0.7983277973894176,0.8756730922415167,0.8370004448154671
287,AT5G06480,Os03g0788200,120,0.8586366044697517,0.892292496415485,0.8754645504426184
288,AT5G06480,Os07g0159800,120,0.7527848173989645,0.639534809622431,0.6961598135106978
289,AT3G11780,Os03g0788200,120,0.629054023861656,0.8200987732993468,0.7245763985805014
290,AT3G11780,Os07g0159800,120,0.9160284195004245,0.9077457384100684,0.9118870789552465
291,AT5G45620,Os03g0214600,121,0.9707612791754174,0.9287748924645531,0.9497680858199853
292,AT5G45620,Os01g0511300,121,0.9670375500841563,0.8952110880994105,0.9311243190917834
293,AT4G19006,Os03g0214600,121,0.9814446579382456,0.9492177791938825,0.9653312185660641
294,AT4G19006,Os01g0511300,121,0.9226842128781447,0.8741500716902979,0.8984171422842213
295,AT4G26680,Os10g0363500,122,0.9375083783904553,0.8362147522701927,0.886861565330324
296,AT3G07720,Os09g0249000,123,0.6738332492834481,0.7648813127290106,0.7193572810062294
297,AT4G11240,Os06g0164100,126,0.8631901931870652,0.8912155488290584,0.8772028710080618
298,AT1G64040,Os06g0164100,126,0.8068546405111935,0.9064011470447667,0.8566278937779801
299,AT1G14170,Os03g0376800,127,0.6927327703054947,0.7538059582603155,0.7232693642829051
300,AT2G35900,Os01g0771200,128,0.8475356360874033,0.733700812490043,0.7906182242887232
301,AT4G15770,Os07g0670600,130,0.9404799142052818,0.9428007009718018,0.9416403075885418
302,AT5G65940,Os10g0552900,131,0.8461057241163591,0.6840720089214593,0.7650888665189092
303,AT3G60510,Os10g0552900,131,0.699495062335225,0.7035717699537996,0.7015334161445123
