,arabidopsis,brome,Group Number,Species 1 Score,Species 2 Score,Total Score
218,AT3G12320,LOC100830815,90,0.9784384459095244,0.949738219895288,0.9640883329024061
219,AT1G25220,LOC100825988,91,0.7513372309988805,0.7926444608614653,0.771990845930173
220,AT5G57890,LOC100825988,91,0.6371770949952316,0.4835640638550734,0.5603705794251524
221,AT5G06310,LOC100829262,92,0.823452336526102,0.8301352262872193,0.8267937814066606
222,AT2G05210,LOC100829262,92,0.6863208525106771,0.7040375164616324,0.6951791844861548
223,AT3G04130,LOC104584282,93,0.7857279097731891,0.7844794912151094,0.7851037004941492
224,AT1G44446,LOC100823044,95,0.9907368246465148,0.9943789548067966,0.9925578897266557
225,AT5G59290,LOC100825240,96,0.9231994029108098,0.8990074840201715,0.9111034434654907
226,AT2G28760,LOC100825240,96,0.7895343533607,0.9185366010342723,0.8540354771974861
227,AT3G46440,LOC100825240,96,0.8647510055147821,0.8006745254231844,0.8327127654689832
228,AT3G25070,LOC100831924,97,0.8844383629804702,0.8328911444448014,0.8586647537126357
229,AT3G25070,LOC100831447,97,0.7747315171870465,0.8265377573635692,0.8006346372753078
230,AT3G04380,LOC100843376,98,0.689787286975992,0.8124626601997881,0.75112497358789
231,AT3G04380,LOC100835285,98,0.668258904507194,0.7735200591012752,0.7208894818042346
232,AT5G43990,LOC100843376,98,0.6740473524899449,0.796678765297273,0.7353630588936089
233,AT5G43990,LOC100835285,98,0.6697661400671725,0.761500658465294,0.7156333992662333
234,AT2G43080,LOC100843006,100,0.8827383173694904,0.918343879484791,0.9005410984271407
235,AT4G21770,LOC100824239,101,0.9807355807107021,0.9785757877493335,0.9796556842300178
236,AT5G59440,LOC100846276,102,0.81032466724717,0.7958693347894517,0.8030970010183108
237,AT1G11570,LOC100844021,103,0.8864286602811295,0.8836732727331128,0.8850509665071211
238,AT1G11570,LOC100846326,103,0.915988260931662,0.8995856486686152,0.9077869548001386
239,AT1G27970,LOC100844021,103,0.8894472778537961,0.9474641056114091,0.9184556917326026
240,AT1G27970,LOC100846326,103,0.8792138325662395,0.9296309382327435,0.9044223853994915
241,AT1G27310,LOC100844021,103,0.9435667786208898,0.9605049304596409,0.9520358545402654
242,AT1G27310,LOC100846326,103,0.9510801509308786,0.9806250602254842,0.9658526055781814
243,AT4G35180,LOC100826791,104,0.20129250854465433,0.40359746892365017,0.30244498873415226
244,AT4G35180,LOC100822704,104,0.7660630616222108,0.653304639235966,0.7096838504290884
245,AT1G47670,LOC100826791,104,0.8873077082555874,0.8284457007034337,0.8578767044795106
246,AT1G47670,LOC100822704,104,0.5920305178919435,0.42521511650731453,0.508622817199629
247,AT5G16450,LOC100835195,105,0.7220052245304142,0.949500529984261,0.8357528772573376
248,AT5G16450,LOC100836315,105,0.768064021229838,0.9411942312016189,0.8546291262157284
249,AT5G56260,LOC100835195,105,0.7198076045942695,0.9268236276619664,0.8233156161281179
250,AT5G56260,LOC100836315,105,0.554496827963677,0.9027205858735105,0.7286087069185938
251,AT3G02770,LOC100835195,105,0.7787121117883651,0.9458388205441172,0.8622754661662411
252,AT3G02770,LOC100836315,105,0.8693618609279762,0.9643143930877204,0.9168381270078483
253,AT2G33680,LOC100829083,106,0.8808908423288322,0.9196736581762117,0.900282250252522
254,AT4G16760,LOC100824216,107,0.9136542687730645,0.9256287540551825,0.9196415114141235
255,AT2G35690,LOC100824216,107,0.8744371190446573,0.8392638036809815,0.8568504613628194
256,AT2G41835,LOC100843134,108,0.7960194053986813,0.9252176147496226,0.8606185100741519
257,AT3G57480,LOC100843134,108,0.8842476261558238,0.9160890373558603,0.900168331755842
258,AT1G52640,LOC104584669,109,0.7292919240922724,0.859505990428163,0.7943989572602177
259,AT5G61430,LOC100840938,110,0.7787286975992038,0.8327433912568657,0.8057360444280348
260,AT5G61430,LOC100836066,110,0.7801716631421819,0.8633668454694376,0.8217692543058097
261,AT5G07680,LOC100840938,110,0.8205581125347265,0.8738573218128673,0.847207717173797
262,AT5G07680,LOC100836066,110,0.8170419206368951,0.9084958083062988,0.862768864471597
263,AT5G18270,LOC100840938,110,0.7255960525770204,0.8409726014197154,0.7832843269983679
264,AT5G18270,LOC100836066,110,0.8670647261267985,0.9267336909388751,0.8968992085328369
265,AT3G04060,LOC100840938,110,0.7580130198615085,0.7919570873349822,0.7749850535982453
266,AT3G04060,LOC100836066,110,0.9181573164158063,0.9587897086692577,0.9384735125425321
267,AT3G29035,LOC100840938,110,0.8565824936766596,0.7813638261651624,0.818973159920911
268,AT3G29035,LOC100836066,110,0.8527926358999876,0.8883949506954036,0.8705937932976956
269,AT5G39610,LOC100840938,110,0.8570800680018245,0.7431921112645745,0.8001360896331995
270,AT5G39610,LOC100836066,110,0.9053613633536509,0.9164487842482253,0.9109050738009381
271,AT2G42810,LOC100825585,111,0.9798648256416637,0.9393441043265988,0.9596044649841312
272,AT2G37150,LOC100829493,112,0.8936269021851805,0.9437702759130184,0.9186985890490995
273,AT4G00070,LOC100829493,112,0.5777667205705519,0.6704140301288022,0.624090375349677
274,AT4G36720,LOC100838066,114,0.8902185180578016,0.8896412167153824,0.8899298673865921
275,AT2G40570,LOC100846184,115,0.7958618401957125,0.726200494651977,0.7610311674238448
276,AT2G40570,LOC100844067,115,0.934950449890119,0.914200366170944,0.9245754080305315
277,AT3G11950,LOC100836090,116,0.8915370900194883,0.9065172003982912,0.8990271452088898
278,AT3G11950,LOC100843188,116,0.7318571961686777,0.8328654482382037,0.7823613222034407
279,AT1G01470,LOC100827152,117,0.8353259342188313,0.8334950052998427,0.834410469759337
280,AT2G46140,LOC100827152,117,0.7362192644192893,0.652792856454566,0.6945060604369276
281,AT1G04640,LOC100842681,118,0.9573495874279554,0.9709889827514213,0.9641692850896884
282,AT3G44100,LOC100840554,119,0.7007422150350375,0.8886133684514824,0.7946777917432599
283,AT3G44100,LOC100838414,119,0.7854542438943484,0.8114605081424855,0.7984573760184169
284,AT5G06480,LOC100840554,119,0.7808231169345735,0.7051039090354286,0.7429635129850011
285,AT5G06480,LOC100838414,119,0.6951113322552557,0.7179198920759323,0.706515612165594
286,AT3G11780,LOC100840554,119,0.8944727785379608,0.8580862750136511,0.8762795267758059
287,AT3G11780,LOC100838414,119,0.900369034291164,0.9118427392156233,0.9061058867533937
288,AT5G45620,LOC100833650,120,0.8901438819090267,0.8982879902354416,0.8942159360722342
289,AT5G45620,LOC100841254,120,0.967624497242609,0.9685414190730093,0.9680829581578092
290,AT4G19006,LOC100833650,120,0.964257577642327,0.8981852054090516,0.9312213915256893
291,AT4G19006,LOC100841254,120,0.9877845503172037,0.9577168920438119,0.9727507211805078
292,AT4G26680,LOC100839520,121,0.6820914707467761,0.7387530915748562,0.7104222811608162
293,AT3G07720,LOC100836767,122,0.7212008127047311,0.7116885619760382,0.7164446873403847
294,AT3G12300,LOC100821555,123,0.7774930546917113,0.7766935406160665,0.7770932976538889
295,AT1G63770,LOC100838708,124,0.8414728200024878,0.934673818777503,0.8880733193899955
296,AT4G11240,LOC100822417,125,0.8691047808599743,0.9073330549577618,0.8882189179088681
297,AT1G64040,LOC100822417,125,0.8915619687357466,0.8818745382712877,0.8867182535035172
298,AT1G14170,LOC100823299,126,0.5979848239830825,0.5250441653550895,0.561514494669086
299,AT1G14170,LOC100821237,126,0.7120371522162791,0.8675103587832846,0.7897737554997819
300,AT2G35900,LOC100843163,127,0.8486461831902807,0.8532618122249702,0.8509539977076255
301,AT2G46890,LOC100824258,128,0.7867894016668739,0.7714065461086307,0.7790979738877524
302,AT4G15770,LOC100838663,129,0.9631877928432226,0.9858156939581795,0.9745017434007011
303,AT5G65940,LOC100839535,130,0.8328067338392006,0.828760479234253,0.8307836065367268
304,AT5G65940,LOC100845202,130,0.7403491313181573,0.6455593742973694,0.6929542528077633
305,AT3G60510,LOC100839535,130,0.6101505162333624,0.8181800661677321,0.7141652912005472
306,AT3G60510,LOC100845202,130,0.670240908902434,0.6141200655253268,0.6421804872138804
307,AT4G31810,LOC100839535,130,0.976987187461127,0.9352969517874923,0.9561420696243097
308,AT4G31810,LOC100845202,130,0.24041132810880292,0.3854559470658144,0.31293363758730863
309,AT2G30660,LOC100839535,130,0.3297351338152433,0.6015674686024475,0.46565130120884535
310,AT2G30660,LOC100845202,130,0.4596941760768108,0.4525744386984871,0.45613430738764893
