,arabidopsis,grape,Group Number,Species 1 Score,Species 2 Score,Total Score
23,AT1G23550,LOC100852765,13,0.8032832820637773,0.8300185408634745,0.8166509114636259
24,AT1G23550,LOC100260925,13,0.687649620808333,0.7353365313870331,0.7114930760976831
25,AT1G23550,LOC100245401,13,0.8321262144793349,0.7585096677359546,0.7953179411076448
26,AT1G23550,LOC100245552,13,0.6612859013797094,0.7173489508225669,0.6893174261011381
27,AT1G23550,LOC100265712,13,0.7625072335759754,0.7692515965743548,0.7658794150751651
28,AT2G35510,LOC100852765,13,0.8835135382085098,0.6102828217428411,0.7468981799756754
29,AT2G35510,LOC100260925,13,0.8581609965583407,0.8861061243709349,0.8721335604646379
30,AT2G35510,LOC100245401,13,0.9075746961898091,0.8727979045881279,0.8901863003889685
31,AT2G35510,LOC100245552,13,0.8165504218316937,0.915612584243209,0.8660815030374514
32,AT2G35510,LOC100265712,13,0.8634666341790272,0.6793254657288325,0.7713960499539299
33,AT1G32230,LOC100852765,13,0.8271495142082661,0.7426528149739544,0.7849011645911103
34,AT1G32230,LOC100260925,13,0.8906770627112965,0.8489831955031049,0.8698301291072007
35,AT1G32230,LOC100245401,13,0.8979745987268907,0.9091379969981459,0.9035562978625182
36,AT1G32230,LOC100245552,13,0.8506258946791337,0.8583419170664234,0.8544839058727786
37,AT1G32230,LOC100265712,13,0.8117503731002346,0.714294122840578,0.7630222479704063
38,AT1G70440,LOC100852765,13,0.8248469527609418,0.7433297036404838,0.7840883282007127
39,AT1G70440,LOC100260925,13,0.5948222824597204,0.7147591159245416,0.654790699192131
40,AT1G70440,LOC100245401,13,0.8634666341790272,0.7432296418376056,0.8033481380083165
41,AT1G70440,LOC100245552,13,0.5719428623640849,0.7991229877277142,0.6855329250458995
42,AT1G70440,LOC100265712,13,0.8199616239758779,0.7682097766267401,0.794085700301309
43,AT3G17668,LOC100259890,14,0.916778850546706,0.9403690514729686,0.9285739510098373
44,AT5G26749,LOC104881371,15,0.8943075564218926,0.8076223549839607,0.8509649557029266
45,AT2G26695,LOC100248007,16,0.5337516116914893,0.6880072986256217,0.6108794551585555
46,AT2G26695,LOC100268075,16,0.49498302859250687,0.6700314900379646,0.5825072593152357
47,AT5G25490,LOC100248007,16,0.910388937958761,0.8867712410606551,0.898580089509708
48,AT5G25490,LOC100268075,16,0.9229068315414369,0.8913152241090085,0.9071110278252228
49,AT3G15680,LOC100248007,16,0.9060152894953248,0.8860884664057213,0.8960518779505231
50,AT3G15680,LOC100268075,16,0.8964091006000061,0.8901792283469202,0.8932941644734631
51,AT1G51540,LOC100264501,17,0.9061432095757318,0.6596688804523055,0.7829060450140186
52,AT1G51540,LOC100258237,17,0.8141077574391617,0.8097118808675947,0.8119098191533782
53,AT3G27220,LOC100264501,17,0.8162763073736788,0.8444365964599049,0.8303564519167919
54,AT3G27220,LOC100258237,17,0.5938537447080681,0.6277524353277024,0.6108030900178852
55,AT4G33865,LOC100267015,18,0.7818170742850181,0.8231849083257305,0.8025009913053743
56,AT4G33865,LOC100241311,18,0.9277921603265008,0.9749374613732011,0.9513648108498509
57,AT4G33865,LOC100262886,18,0.9767611853927451,0.9809719074853422,0.9788665464390437
58,AT3G43980,LOC100267015,18,0.7808850851277678,0.8129668324553401,0.7969259587915539
59,AT3G43980,LOC100241311,18,0.9402491395851734,0.9706818917566733,0.9554655156709233
60,AT3G43980,LOC100262886,18,0.9780403861968142,0.9778065537210893,0.9779234699589517
61,AT3G44010,LOC100267015,18,0.8105138123229677,0.7986050207481091,0.8045594165355384
62,AT3G44010,LOC100241311,18,0.9537721195139037,0.9763913005091381,0.965081710011521
63,AT3G44010,LOC100262886,18,0.9762677793683184,0.9816716861067782,0.9789697327375484
64,AT2G20825,LOC100265316,19,0.7071604787865867,0.8674416551399393,0.787301066963263
65,AT4G28190,LOC100265316,19,0.7224134255170104,0.7921657494334736,0.757289587475242
66,AT5G08170,LOC100249038,20,0.57722413425517,0.7704876541393214,0.6738558941972457
67,AT1G71930,LOC100265732,21,0.896628392166418,0.7737367197386621,0.8351825559525401
68,AT1G71930,LOC100258785,21,0.936405445740566,0.904276170575944,0.9203408081582549
69,AT1G71930,LOC100243701,21,0.9565437212560534,0.8073941094336045,0.8819689153448289
70,AT1G71930,LOC100242025,21,0.9555325434775988,0.872768474646105,0.9141505090618518
71,AT5G66300,LOC100265732,21,0.6590198885267871,0.7350893198740398,0.6970546042004134
72,AT5G66300,LOC100258785,21,0.6992842566929613,0.8267518172989199,0.7630180369959406
73,AT5G66300,LOC100243701,21,0.6293058812779825,0.6670394459322915,0.648172663605137
74,AT5G66300,LOC100242025,21,0.6727926171839308,0.7612348803672857,0.7170137487756083
75,AT4G36160,LOC100265732,21,0.8544513142265404,0.786038435504282,0.8202448748654112
76,AT4G36160,LOC100258785,21,0.8166783419121006,0.9073545425115512,0.8620164422118259
77,AT4G36160,LOC100243701,21,0.7802942161849359,0.7536288753511156,0.7669615457680257
78,AT4G36160,LOC100242025,21,0.8341973014954467,0.8514435386562289,0.8428204200758378
79,AT1G62700,LOC100265732,21,0.8288855724423598,0.8321433826775362,0.830514477559948
80,AT1G62700,LOC100258785,21,0.8463801662961046,0.8613555431295801,0.8538678547128423
81,AT1G62700,LOC100243701,21,0.7961319404257912,0.770122722858236,0.7831273316420135
82,AT1G62700,LOC100242025,21,0.8336368897146164,0.78303069542953,0.8083337925720732
83,AT2G18060,LOC100265732,21,0.8987908506685347,0.8017716825097855,0.8502812665891601
84,AT2G18060,LOC100258785,21,0.8246459354917308,0.828929633008623,0.826787784250177
85,AT2G18060,LOC100243701,21,0.7250022842871501,0.7915608006252228,0.7582815424561864
86,AT2G18060,LOC100242025,21,0.8882100325891633,0.7394272933282321,0.8138186629586976
87,AT1G12260,LOC100265732,21,0.8883440441019705,0.7971452956237677,0.8427446698628691
88,AT1G12260,LOC100258785,21,0.9382511497578655,0.893946260925866,0.9160987053418658
89,AT1G12260,LOC100243701,21,0.9499162428044954,0.754165154294646,0.8520406985495708
90,AT1G12260,LOC100242025,21,0.960704169585478,0.8746225609935548,0.9176633652895164
91,AT5G07590,LOC100252693,22,0.8246154783297291,0.888566467524059,0.8565909729268941
92,AT5G63080,LOC100251987,24,0.8603965522492615,0.9159834015126991,0.8881899768809802
93,AT5G16940,LOC100245260,25,0.7246246154783297,0.6666293887401042,0.695627002109217
94,AT1G08480,LOC100241287,26,0.9894922791094326,0.9687159716295359,0.9791041253694843
95,AT5G08565,LOC100261013,27,0.9318064142783176,0.9275611407045528,0.9296837774914352
96,AT5G63670,LOC100261013,27,0.8259495020254013,0.9406456929279849,0.8832975974766931
97,AT3G20740,LOC100246903,28,0.839314104711723,0.8341328467582919,0.8367234757350075
98,AT2G29390,LOC100260328,30,0.9571589559284867,0.9213102210188646,0.9392345884736757
99,AT2G29390,LOC100242817,30,0.9590290256753875,0.6050148621207216,0.7820219438980546
100,AT1G07420,LOC100260328,30,0.8181951085797825,0.9268724800612143,0.8725337943204984
101,AT1G07420,LOC100242817,30,0.7958273688057748,0.56391300509138,0.6798701869485774
102,AT1G10900,LOC100258261,31,0.8826302805104621,0.9103387386326849,0.8964845095715734
103,AT1G60890,LOC100258261,31,0.916590016142296,0.8656994025721769,0.8911447093572364
104,AT3G21740,LOC100263618,32,0.9175037310023453,0.9264898908149151,0.9219968109086302
105,AT5G46590,LOC100255731,34,0.5537112051899004,0.6586715324170811,0.6061913688034908
106,AT5G07300,LOC100241932,35,0.7556360978284044,0.7599870508255099,0.7578115743269571
107,AT5G07300,LOC100247065,35,0.7441963877805866,0.9038582653992172,0.8240273265899019
108,AT5G07300,LOC100250795,35,0.9064965126549508,0.9620059448482886,0.9342512287516197
109,AT1G08860,LOC100241932,35,0.6383638412572717,0.7366726507548781,0.6875182460060749
110,AT1G08860,LOC100247065,35,0.6647762921450979,0.695147002560405,0.6799616473527514
111,AT1G08860,LOC100250795,35,0.6251027929217555,0.8310015009270432,0.7280521469243993
112,AT3G58670,LOC100250622,36,0.8027350531477477,0.7331587156773302,0.767946884412539
113,AT3G58670,LOC100253193,36,0.9177108397039564,0.8561052414726743,0.8869080405883154
114,AT2G42670,LOC100250622,36,0.9386897328906892,0.9347479325465728,0.9367188327186311
115,AT2G42670,LOC100253193,36,0.7964730606402095,0.8218075870390535,0.8091403238396315
116,AT3G06080,LOC100263128,37,0.7344135473456583,0.5435828011418818,0.63899817424377
117,AT3G06080,LOC100261302,37,0.6333871409862029,0.6313311162777009,0.6323591286319519
118,AT3G06080,LOC100249456,37,0.6120549447202509,0.6572059213043351,0.6346304330122929
119,AT5G06230,LOC100263128,37,0.7665458532573934,0.5662674004532211,0.6664066268553073
120,AT5G06230,LOC100261302,37,0.44341363871714434,0.31750787250949114,0.3804607556133177
121,AT5G06230,LOC100249456,37,0.7628544452227941,0.7848200359045293,0.7738372405636618
122,AT5G19160,LOC100263128,37,0.49698778667803734,0.4897377792165749,0.4933627829473061
123,AT5G19160,LOC100261302,37,0.8563152925410411,0.48879013508343383,0.6725527138122375
124,AT5G19160,LOC100249456,37,0.58296226357628,0.5995350069160363,0.5912486352461581
125,AT3G02580,LOC100265283,38,0.8588736941491792,0.8697548485829484,0.8643142713660639
126,AT1G44790,LOC100264430,39,0.8598361404684312,0.8435151122752288,0.8516756263718299
127,AT2G24240,LOC100251988,40,0.5773094143087747,0.6988434032784956,0.6380764087936351
128,AT4G30940,LOC100251988,40,0.7639569944872536,0.670202183701698,0.7170795890944759
129,AT4G39830,LOC100252644,41,0.8172935765845338,0.8619114420344592,0.8396025093094965
130,AT4G39830,LOC100263656,41,0.8126762708250844,0.8932870302245505,0.8529816505248174
131,AT4G39830,LOC100257784,41,0.8493954253342674,0.9257718002295535,0.8875836127819104
132,AT4G39830,LOC100242403,41,0.8836780068833185,0.8799670384649343,0.8818225226741264
133,AT4G36050,LOC100264349,42,0.8729144458319374,0.7663498042908855,0.8196321250614115
134,AT4G09020,LOC100261768,43,0.5782170377364236,0.6260572706671768,0.6021371542018001
135,AT4G09020,LOC100255802,43,0.8875095178631255,0.8812384119603284,0.8843739649117269
136,AT2G39930,LOC100261768,43,0.8293241555751836,0.9489802525089026,0.8891522040420431
137,AT2G39930,LOC100255802,43,0.9026223616483415,0.7860266635274729,0.8443245125879072
138,AT1G55270,LOC100243988,44,0.8196692352206622,0.8872774360634509,0.8534733356420565
139,AT1G55270,LOC100255323,44,0.9406633569883958,0.8935636716795669,0.9171135143339813
140,AT5G42850,LOC100247612,45,0.9353150793409071,0.9798993495982813,0.9576072144695942
141,AT2G17705,LOC100250649,46,0.7967837236926263,0.8779775743841784,0.8373806490384024
142,AT4G01870,LOC100264112,47,0.6376206865044315,0.5812648989081491,0.6094427927062903
143,AT4G34270,LOC100255906,48,0.8994304510705693,0.9109214514847406,0.9051759512776549
144,AT1G08040,LOC100264636,49,0.813870191575549,0.9153830306954295,0.8646266111354892
145,AT1G08040,LOC100267242,49,0.8668595620260103,0.9076324919639909,0.8872460269950007
146,AT1G08040,LOC100243914,49,0.6922730180001828,0.7644427440477942,0.7283578810239886
147,AT1G67850,LOC100264636,49,0.8422623579934821,0.8363930663056593,0.8393277121495708
148,AT1G67850,LOC100267242,49,0.7869034203392928,0.8145619353129875,0.8007326778261401
149,AT1G67850,LOC100243914,49,0.8044589285170407,0.8660349039112393,0.83524691621414
150,AT2G28310,LOC100264636,49,0.8204306642707033,0.862703434474234,0.8415670493724687
151,AT2G28310,LOC100267242,49,0.7809642737489721,0.7732619166740242,0.7771130952114982
152,AT2G28310,LOC100243914,49,0.8601346206560473,0.6928514670826099,0.7764930438693286
153,AT3G27470,LOC100264636,49,0.9285962294033442,0.9411401159539716,0.9348681726786578
154,AT3G27470,LOC100267242,49,0.9397861907227485,0.8932968402052247,0.9165415154639867
155,AT3G27470,LOC100243914,49,0.8703743185210002,0.8641631595985756,0.867268739059788
156,AT1G69830,LOC100267346,50,0.8530320104772637,0.7703051884987787,0.8116685994880213
157,AT2G33830,LOC100260521,51,0.7632869369232175,0.8807466049291883,0.822016770926203
158,AT1G28330,LOC100260521,51,0.7640422745408583,0.8775747111778189,0.8208084928593387
159,AT2G32090,LOC100256251,52,0.7609782840434929,0.8538273639600931,0.807402824001793
160,AT5G55600,LOC100242253,53,0.792629366795602,0.8298419612113365,0.8112356640034692
161,AT5G55600,LOC104878146,53,0.5171747936527274,0.5124518084699373,0.5148133010613324
162,AT5G55600,LOC100265203,53,0.9275667773276886,0.9395155831543012,0.9335411802409949
163,AT1G68580,LOC100242253,53,0.9159747814698627,0.8356102298478473,0.8757925056588549
164,AT1G68580,LOC104878146,53,0.49715834678524656,0.665046057859266,0.5811022023222563
165,AT1G68580,LOC100265203,53,0.9247647184235372,0.8839518526148503,0.9043582855191938
166,AT1G03030,LOC100254581,54,0.7727103828465264,0.7687689455251773,0.7707396641858518
167,AT1G07220,LOC100853312,55,0.7776931745499954,0.6603137231819654,0.7190034488659804
168,AT5G60620,LOC100243463,56,0.8056041178083027,0.914429500573884,0.8600168091910934
169,AT5G04360,LOC100247866,57,0.7371364176286054,0.8160098884605198,0.7765731530445625
170,AT5G36210,LOC100262703,58,0.6876191636463314,0.856169987345125,0.7718945754957282
171,AT5G36210,LOC100267853,58,0.6388389729844973,0.7183672268165632,0.6786030999005302
172,AT5G52820,LOC100262007,59,0.9757621904790912,0.968833691397628,0.9722979409383596
173,AT2G23390,LOC100262534,60,0.9494654768068711,0.9520115365372731,0.9507385066720722
174,AT1G80750,LOC100267028,61,0.9901806109706697,0.9826951940904677,0.9864379025305687
175,AT3G52390,LOC100260602,62,0.8936253159930558,0.9377203566908973,0.9156728363419766
176,AT2G16430,LOC100247127,63,0.819462126519051,0.6949292209894347,0.7571956737542429
177,AT2G16430,LOC100241752,63,0.603295464928578,0.6897554371817888,0.6465254510551834
178,AT2G16430,LOC100241989,63,0.7237048091858801,0.7816886900732806,0.7526967496295803
179,AT2G16430,LOC100260651,63,0.7478268814911827,0.6499249536478413,0.6988759175695121
180,AT2G16430,LOC100246877,63,0.6120671275850517,0.7075428941404985,0.6598050108627751
181,AT2G27190,LOC100247127,63,0.7515426552553833,0.717066423379146,0.7343045393172647
182,AT2G27190,LOC100241752,63,0.713349374105321,0.8387592336443097,0.7760543038748153
183,AT2G27190,LOC100241989,63,0.7867511345292846,0.815056358338974,0.8009037464341293
184,AT2G27190,LOC100260651,63,0.745018731154631,0.7341299037640896,0.7395743174593603
185,AT2G27190,LOC100246877,63,0.6784211007218347,0.8789311045057241,0.7786761026137794
186,AT3G09320,LOC100254742,64,0.8895135991228338,0.9333882692251095,0.9114509341739716
187,AT3G09320,LOC100244241,64,0.7908567599671062,0.6455516642632214,0.7182042121151638
188,AT5G04270,LOC100254742,64,0.828093686230317,0.9181788751876159,0.8731362807089664
189,AT5G04270,LOC100244241,64,0.7997015198123838,0.6940580947055535,0.7468798072589686
190,AT5G39680,LOC100242188,65,0.9392988761307222,0.9146178522028311,0.9269583641667767
191,AT3G01435,LOC100255926,66,0.9576828191149148,0.9381559198328379,0.9479193694738763
192,AT3G57630,LOC100267584,67,0.795851734535376,0.9328291003266723,0.8643404174310242
193,AT2G38600,LOC100244898,68,0.7216113869176337,0.3536242973601342,0.537617842138884
194,AT2G38600,LOC100853464,68,0.742471158759649,0.62161269542299,0.6820419270913195
195,AT2G38600,LOC100248136,68,0.7780518922357925,0.3830836693251714,0.580567780780482
196,AT5G24780,LOC100244898,68,0.5609600097462918,0.382259630948527,0.4716098203474094
197,AT5G24780,LOC100853464,68,0.5290774525629702,0.6869079267913842,0.6079926896771772
198,AT5G24780,LOC100248136,68,0.5564158011756465,0.40824626975484857,0.4823310354652475
199,AT5G24770,LOC100244898,68,0.36729306896516717,0.3464139615644957,0.35685351526483144
200,AT5G24770,LOC100853464,68,0.5190509548320288,0.7272269473629137,0.6231389510974712
201,AT5G24770,LOC100248136,68,0.5125737317130122,0.5049471732540687,0.5087604524835405
202,AT5G63800,LOC100262510,69,0.5617884445527366,0.7017275375967509,0.6317579910747437
203,AT5G63800,LOC100264509,69,0.5616848902019309,0.6189881985932487,0.5903365443975899
204,AT1G77410,LOC100262510,69,0.7130691682149057,0.696836281232526,0.7049527247237158
205,AT1G77410,LOC100264509,69,0.6865958030030762,0.6752523617528474,0.6809240823779619
206,AT2G14835,LOC100242874,70,0.8935400359394511,0.9667677094676125,0.9301538727035318
207,AT5G15520,LOC100255295,71,0.8862303170590564,0.9243297330704259,0.9052800250647411
208,AT5G15520,LOC100266271,71,0.9184600858891968,0.9812943288501722,0.9498772073696845
209,AT3G02080,LOC100255295,71,0.9010995035482594,0.9305100208952588,0.9158047622217591
210,AT3G02080,LOC100266271,71,0.9304723905826455,0.9797521998881662,0.9551122952354059
211,AT5G61170,LOC100255295,71,0.9313556482806933,0.9199211277553784,0.9256383880180359
212,AT5G61170,LOC100266271,71,0.9466573264703194,0.9809293975690868,0.9637933620197031
213,AT3G18620,LOC100249684,72,0.8494502482258703,0.850478236557874,0.8499642423918722
214,AT3G27080,LOC100248125,73,0.9141351688849633,0.9220518555578446,0.918093512221404
215,AT5G40930,LOC100248125,73,0.98722017482411,0.9077489037346597,0.9474845392793848
216,AT1G27390,LOC100248125,73,0.8981634331313009,0.8895199976456046,0.8938417153884528
217,AT5G10370,LOC100254070,74,0.9718819480400817,0.9846140263103681,0.9782479871752249
218,AT4G01020,LOC100254070,74,0.9799226388085158,0.9843197268901379,0.9821211828493268
219,AT2G35950,LOC100263174,75,0.3270794627356623,0.4409900232496542,0.3840347429926583
220,AT1G53400,LOC100247989,76,0.60648128407395,0.8707613526001353,0.7386213183370427
221,AT1G53400,LOC100267634,76,0.9370755033046021,0.8943994820330203,0.9157374926688112
222,AT5G45740,LOC100247989,76,0.7595833460238175,0.7476088172106301,0.7535960816172238
223,AT5G45740,LOC100267634,76,0.8158438156732555,0.8040789899643898,0.8099614028188227
224,AT3G45620,LOC100251996,77,0.7523528157646271,0.8458518496718561,0.7991023327182416
225,AT3G45620,LOC100253665,77,0.7580909450857369,0.8736278289531769,0.8158593870194569
226,AT4G38480,LOC100251996,77,0.8524167758048306,0.8749874922746402,0.8637021340397354
227,AT4G38480,LOC100253665,77,0.868498157341699,0.8662526854822097,0.8673754214119543
228,AT4G35140,LOC100251996,77,0.8883379526695703,0.8876364813561317,0.887987217012851
229,AT4G35140,LOC100253665,77,0.8761794535985137,0.9059772212248742,0.891078337411694
230,AT3G49940,LOC100255841,79,0.5765967167179362,0.7898348980252509,0.6832158073715935
231,AT3G49940,LOC100265159,79,0.5962415862089971,0.48455418542825474,0.5403978858186259
232,AT3G49940,LOC100261250,79,0.646538543538513,0.6737632066864828,0.6601508751124979
233,AT5G67420,LOC100255841,79,0.4332287637437944,0.49992053915653784,0.4665746514501661
234,AT5G67420,LOC100265159,79,0.6364754972131698,0.5223880108956186,0.5794317540543942
235,AT5G67420,LOC100261250,79,0.5112295556300064,0.6574707907825422,0.5843501732062744
236,AT4G37540,LOC100255841,79,0.47653275667773276,0.6586597604402719,0.5675962585590023
237,AT4G37540,LOC100265159,79,0.659166082904395,0.3574102959017171,0.5082881894030561
238,AT4G37540,LOC100261250,79,0.4500533000335029,0.5348244503958327,0.4924388752146678
239,AT5G13520,LOC100243305,80,0.7068071757073675,0.8580770475882162,0.7824421116477919
240,AT3G59220,LOC100241784,81,0.6351049249230957,0.6057682686365108,0.6204365967798032
241,AT3G59220,LOC100254895,81,0.805628483537904,0.736984608140322,0.771306545839113
242,AT2G43120,LOC100241784,81,0.8157950842140529,0.6411077430177463,0.7284514136158996
243,AT2G43120,LOC100254895,81,0.8111290469954009,0.7139246135685113,0.7625268302819561
244,AT1G50590,LOC100241784,81,0.6626930222641855,0.5744901262544513,0.6185915742593184
245,AT1G50590,LOC100254895,81,0.7289556239149636,0.5583056201379284,0.643630622026446
246,AT5G64320,LOC100853015,82,0.8557122407334085,0.7376202948880191,0.7966662678107137
247,AT5G64320,LOC100260361,82,0.8815155483812018,0.8081167780099473,0.8448161631955746
248,AT1G42480,LOC100242718,83,0.9473943897907593,0.869595926896024,0.9084951583433917
249,AT3G16800,LOC100251160,84,0.5143788261809764,0.6989316931045646,0.6066552596427706
250,AT3G16800,LOC100256894,84,0.4649894922791094,0.4672003296153507,0.46609491094723005
251,AT3G05640,LOC100251160,84,0.4943014649894923,0.811589511168663,0.6529454880790776
252,AT3G05640,LOC100256894,84,0.42576675905339145,0.4387533476559051,0.4322600533546483
253,AT5G27930,LOC100251160,84,0.5830231779002834,0.8943818240678066,0.738702500984045
254,AT5G27930,LOC100256894,84,0.6175372338805469,0.6840931163365608,0.6508151751085538
255,AT4G10810,LOC100258972,85,0.938982121645905,0.9250949115630241,0.9320385166044646
256,AT4G10170,LOC100853487,86,0.8874546949715225,0.9196856882191942,0.9035701915953583
257,AT1G33475,LOC100853487,86,0.5754271616970731,0.7275670266929574,0.6514970941950152
258,AT2G03280,LOC100251581,87,0.8269728626686565,0.7876433483426037,0.8073081055056301
259,AT2G03280,LOC100247184,87,0.8163554959948832,0.8882780540922334,0.8523167750435583
260,AT2G03280,LOC100247578,87,0.6203636585142996,0.7528767768327497,0.6866202176735247
261,AT1G14020,LOC100251581,87,0.7478756129503853,0.7470104083894955,0.7474430106699403
262,AT1G14020,LOC100247184,87,0.900520817470228,0.8918214191118043,0.8961711182910161
263,AT1G14020,LOC100247578,87,0.7779063746840069,0.6860001765796521,0.7319532756318294
264,AT5G15740,LOC100251581,87,0.8267657539670453,0.794150635523248,0.8104581947451467
265,AT5G15740,LOC100247184,87,0.8353607650839096,0.8000941758144737,0.8177274704491917
266,AT5G15740,LOC100247578,87,0.7541741540523254,0.7488095588451691,0.7514918564487472
267,AT3G02250,LOC100251581,87,0.562610787926781,0.6734420933190762,0.6180264406229286
268,AT3G02250,LOC100247184,87,0.7638838972984496,0.7736072279937609,0.7687455626461053
269,AT3G02250,LOC100247578,87,0.7557091950172083,0.7857912239912888,0.7707502095042486
270,AT5G13710,LOC100252116,88,0.6481527731246002,0.8718326024897731,0.7599926878071867
271,AT5G13710,LOC100263590,88,0.7724301769561113,0.9519703346184408,0.8622002557872761
272,AT2G13600,LOC100253980,90,0.8882892212103677,0.9731481208982018,0.9307186710542847
273,AT5G46680,LOC100257981,91,0.8159169128620595,0.6911975043409164,0.7535572086014879
274,AT5G06980,LOC100264272,92,0.9761520421527122,0.9427116748580006,0.9594318585053564
275,AT3G12320,LOC100264272,92,0.9701032497791856,0.9721239589158011,0.9711136043474933
276,AT1G25220,LOC100257728,93,0.9146529406389913,0.7932611972754414,0.8539570689572163
277,AT5G57890,LOC100257728,93,0.7268601711692505,0.7376124469034796,0.732236309036365
278,AT5G06310,LOC100262869,94,0.8380775439344561,0.8662526854822097,0.8521651147083329
279,AT2G05210,LOC100262869,94,0.8616818444857308,0.8382942405603462,0.8499880425230385
280,AT3G04130,LOC100264769,95,0.8978527700788841,0.9431642419664433,0.9205085060226637
281,AT1G44446,LOC100247245,97,0.9147869521517985,0.9899905497186171,0.9523887509352078
282,AT5G59290,LOC100249678,98,0.7867937745560868,0.8149150946172636,0.8008544345866753
283,AT5G59290,LOC100245048,98,0.9852770078884049,0.9722122487418701,0.9787446283151375
284,AT2G28760,LOC100249678,98,0.3108275210915847,0.7458430206892492,0.528335270890417
285,AT2G28760,LOC100245048,98,0.5027746474583498,0.9503752317607934,0.7265749396095715
286,AT3G46440,LOC100249678,98,0.916687479060701,0.8704023073074546,0.8935448931840778
287,AT3G46440,LOC100245048,98,0.8560594523802272,0.9468554106948409,0.9014574315375341
288,AT3G25070,LOC100258114,99,0.8135412542259313,0.7961093616645575,0.8048253079452443
289,AT3G25070,LOC100255563,99,0.8304571620016448,0.892892669001442,0.8616749155015434
290,AT3G25070,LOC100249030,99,0.5310693509578777,0.37589687748315137,0.4534831142205145
291,AT3G04380,LOC100243013,101,0.7628057137635915,0.8603902410312252,0.8115979773974084
292,AT3G04380,LOC100261268,101,0.6102396978649529,0.6963889461137761,0.6533143219893645
293,AT5G43990,LOC100243013,101,0.8431090670971279,0.9367373966273287,0.8899232318622283
294,AT5G43990,LOC100261268,101,0.5197575609904669,0.6635863327349245,0.5916719468626956
295,AT2G43080,LOC100241153,103,0.830889653702068,0.8870773124576945,0.8589834830798813
296,AT1G79080,LOC100247376,104,0.9661438187189718,0.9506871891462374,0.9584155039326046
297,AT4G21770,LOC100248694,105,0.985685133859227,0.987921951793755,0.986803542826491
298,AT5G59440,LOC100245592,106,0.8486949106082295,0.81985932487713,0.8342771177426798
299,AT1G11570,LOC100248590,107,0.6410988944050193,0.743021016248598,0.6920599553268086
300,AT1G11570,LOC100252245,107,0.512204184814059,0.8373053945083728,0.6747547896612159
301,AT1G27970,LOC100248590,107,0.8793165412846831,0.7368341884366488,0.808075364860666
302,AT1G27970,LOC100252245,107,0.9347607589924771,0.8929397569086789,0.9138502579505781
303,AT1G27310,LOC100248590,107,0.8234763804708678,0.730052221797123,0.7767643011339954
304,AT1G27310,LOC100252245,107,0.9687692260835135,0.960222490361694,0.9644958582226038
305,AT4G35180,LOC100248950,108,0.28461608747296924,0.2281467965508108,0.25638144201189
306,AT4G35180,LOC100854282,108,0.8018639783145006,0.7780982371464729,0.7899811077304868
307,AT4G35180,LOC100241879,108,0.6047878658666586,0.5464845934253509,0.5756362296460047
308,AT4G35180,LOC100243824,108,0.7445679651570067,0.6431913829129756,0.6938796740349912
309,AT1G47670,LOC100248950,108,0.8658788414095575,0.9306277406633509,0.8982532910364542
310,AT1G47670,LOC100854282,108,0.3289738982121646,0.4607787162659289,0.39487630723904676
